cluster_a  best_cluster_c  passes  score    iou    inter  lam_ratio  ang_diff_deg  thetaA_deg  thetaC_deg  lamA_med  lamC_med
      301             749       1   0.073  0.073   1712     1.000           0.0       130.0       130.0      41.5      41.5
      302             730       1   0.033  0.187   2724     1.091           4.2       120.5       124.7      41.5      38.1
      303             749       1   0.175  0.195   1672     1.091           0.0       130.0       130.0      38.1      41.5
      304             677       1   0.118  0.205   2896     1.000           0.7        96.2        96.9      32.0      32.0
      305             676       1   0.060  0.273   2108     1.189           2.9       111.1       108.3      34.9      41.5
      306             688       1   0.020  0.239   1688     1.091           9.9        70.1        80.0      38.1      34.9
      307             690       1   0.048  0.534   3292     1.091           9.1       168.8       159.6      69.8      76.1
      308             677       0   0.020  0.179   1100     1.542           4.8        94.8        90.0      20.7      32.0
      309             680       1   0.018  0.217   1864     1.091           9.8       104.3       114.1      34.9      32.0
      310             676       1   0.044  0.217   1296     1.000           3.9       111.1       107.2      32.0      32.0
      311             715       1   0.013  0.173   6384     1.091          10.8        69.2        80.0     117.4     107.6
      312             840       1   0.050  0.060    444     1.189           0.0       110.0       110.0      26.9      32.0
      313             750       1   0.093  0.155   1440     1.000           0.7       147.3       146.6      45.3      45.3
      314             835       1   0.054  0.064    112     1.189           0.0       140.0       140.0      26.9      32.0
      315             742       1   0.087  0.358   1968     1.091           2.8        85.3        88.0      26.9      29.3
      316             695       1   0.032  0.401   5224     1.091          10.7         0.4        11.1      69.8      76.1
      317             813       1   0.025  0.054    244     1.091           1.0       140.0       139.0      45.3      41.5
      318             835       1   0.006  0.076    128     1.189          10.0       150.0       140.0      29.3      34.9
      319             742       1   0.153  0.311   1444     1.091           0.9        83.4        84.3      26.9      29.3
      320             766       0   0.028  0.515    604     1.682          10.0         0.0       170.0      38.1      64.0
      321             716       1   0.256  0.305   2796     1.189           0.0       170.0       170.0      64.0      76.1
      322             717       1   0.392  0.392   2712     1.000           0.0       140.0       140.0      49.4      49.4
      323             728       1   0.050  0.095    544     1.000           0.9       108.6       107.7      34.9      34.9
      324             675       1   0.117  0.235   2328     1.091           0.8        76.9        77.7      17.4      19.0
      325             728       0   0.101  0.224    836     2.000           0.1       102.7       102.8      22.6      45.3
      326             820       1   0.073  0.087    284     1.189           0.0       150.0       150.0      32.0      38.1
      327             762       1   0.106  0.205   1604     1.000           0.9       130.9       130.0      38.1      38.1
      328             742       0   0.013  0.432   3008     1.834          16.7        68.8        85.5      53.8      29.3
      329             698       0   0.020  0.279    596     1.542           7.9       120.0       127.9      26.9      41.5
      330             860       1   0.064  0.064    332     1.000           0.0       160.0       160.0      34.9      34.9
      331             716       1   0.341  0.377   3608     1.000           0.1       169.9       170.0      76.1      76.1
      332             742       1   0.036  0.201    904     1.000           4.6        80.0        84.6      32.0      32.0
      333             678       1   0.155  0.222   1892     1.000           0.4       100.5       100.9      26.9      26.9
      334             774       1   0.170  0.185    568     1.091           0.0         0.0         0.0      38.1      34.9
      335             860       1   0.012  0.127    312     1.000          10.0       150.0       160.0      34.9      34.9
      336             869       0   0.001  0.062    236     1.189          80.7       139.3        40.0      32.0      26.9
      337             735       1   0.354  0.422   3532     1.091           0.1        84.0        84.1      53.8      49.4
      338             697       1   0.277  0.595    956     1.000           1.1        75.6        74.4      16.0      16.0
      339             766       0   0.019  0.388    644     1.834          10.0         0.0       170.0      34.9      64.0
      340             684       1   0.065  0.235   1020     1.091           2.3        84.2        86.6      20.7      22.6
      341             736       0   0.169  0.402   1616     2.378           0.0       130.0       130.0      38.1      90.5
      342             713       1   0.038  0.436   1964     1.091           9.5        40.5        50.0      53.8      49.4
      343             689       1   0.009  0.099    684     1.000          10.0        80.0        90.0      64.0      64.0
      344             674       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      345             902       1   0.026  0.253    500     1.189           7.3        90.0        97.3      24.7      29.3
      346             803       1   0.069  0.120    256     1.189           0.5       160.0       160.5      49.4      41.5
      347             698       0   0.048  0.088    144     1.834           0.0       130.0       130.0      22.6      41.5
      348             713       0   0.276  0.390   1892     1.414           0.0        50.0        50.0      69.8      49.4
      349             690       1   0.034  0.405   1620     1.091          10.0       170.0       160.0      83.0      76.1
      350             676       1   0.019  0.118    360     1.000           5.3       115.3       110.0      26.9      26.9
      351             774       1   0.264  0.264    704     1.000           0.0         0.0         0.0      34.9      34.9
      352             898       0   0.003  0.112    224     1.297          30.0        70.0       100.0      32.0      24.7
