L6A: l6/awe_l6a_tmp_2024166T0331_03179_v01.nc
L6C: l6/awe_l6c_q20_2024166T0331_03179_v01.nc

slice  nA  nC  nBestSaved  nPassed  note
    0   9  19           9        5  ok
    1  13  19          13        7  ok
    2  288  379         288      209  ok
    3  433  672         433      242  ok
    4  26  63          26        2  ok
    5  19  41          19        1  ok
    6  514  171         514       54  ok
    7  48  19          48        6  ok
    8   5   0           0        0  no L6C clusters
