cluster_a  best_cluster_c  passes  score    iou    inter  lam_ratio  ang_diff_deg  thetaA_deg  thetaC_deg  lamA_med  lamC_med
       47             616       1   0.057  0.554  28424     1.000           8.8         9.8         1.0     117.4     117.4
       48             618       1   0.305  0.419  22844     1.189           0.2       168.5       168.3      98.7      83.0
       49             635       1   0.156  0.402   4596     1.000           1.6         2.3         0.7      24.7      24.7
       50             633       0   0.006  0.501   5080     1.000          85.2        98.4         3.6      38.1      38.1
       51             617       1   0.055  0.133   5260     1.189           1.0         9.7         8.6      26.9      32.0
       52             637       1   0.104  0.439   7864     1.091           2.9       166.4       169.3      64.0      58.7
       53             648       1   0.312  0.508   5680     1.091           0.5         0.0         0.5      38.1      41.5
       54             663       0   0.002  0.195   1712     1.000          78.7        90.3       169.0      22.6      22.6
       55             627       1   0.033  0.353   6004     1.000           9.7       160.3       170.0      58.7      58.7
       56             677       1   0.309  0.614    776     1.091           0.8         1.1         1.9      16.0      17.4
       57             731       1   0.133  0.133   1260     1.000           0.0        90.0        90.0      69.8      69.8
