Cluster power ranking (clustered only)

name = amp0p25
MIN_AMP = 0.25
THR = 0.1
WHITE_NOISE_THRESHOLD = 0.03
WPS_NOISE_THRESHOLD = 8.0

rank  kcl      P_abs           P_pct
   1    0   1.398301e+04    62.47%
   2    1   3.560821e+03    15.91%
   3    2   1.528633e+03     6.83%
   4    8   9.986409e+02     4.46%
   5    3   7.074677e+02     3.16%
   6    9   6.185376e+02     2.76%
   7    4   3.562121e+02     1.59%
   8    6   2.503426e+02     1.12%
   9    5   1.979371e+02     0.88%
  10   10   1.428788e+02     0.64%
  11    7   4.022470e+01     0.18%
