Cluster power ranking (clustered only)
rank  kcl      P_abs           P_pct
   1    0   6.383709e+05    81.77%
   2    2   3.710254e+04     4.75%
   3    7   2.245069e+04     2.88%
   4   12   1.196162e+04     1.53%
   5    1   8.685965e+03     1.11%
   6    4   7.614503e+03     0.98%
   7    3   7.206768e+03     0.92%
   8    8   6.954295e+03     0.89%
   9    5   5.681133e+03     0.73%
  10   10   4.299166e+03     0.55%
  11    6   3.788826e+03     0.49%
  12   30   3.307224e+03     0.42%
  13   17   2.819132e+03     0.36%
  14   15   2.292857e+03     0.29%
  15   20   2.031404e+03     0.26%
  16   21   1.948489e+03     0.25%
  17   28   1.624752e+03     0.21%
  18   23   1.265439e+03     0.16%
  19   14   1.255176e+03     0.16%
  20   31   1.156862e+03     0.15%
  21   19   1.030496e+03     0.13%
  22   25   8.083416e+02     0.10%
  23   33   7.694870e+02     0.10%
  24   32   7.347128e+02     0.09%
  25   36   6.977516e+02     0.09%
  26   41   6.040121e+02     0.08%
  27   24   3.318874e+02     0.04%
  28   29   3.060781e+02     0.04%
  29   13   2.607025e+02     0.03%
  30   11   2.536608e+02     0.03%
  31   53   1.662484e+02     0.02%
  32   96   1.620185e+02     0.02%
  33   18   1.570247e+02     0.02%
  34   92   1.519934e+02     0.02%
  35   45   1.359153e+02     0.02%
  36   42   1.197976e+02     0.02%
  37   59   9.822656e+01     0.01%
  38   22   9.116369e+01     0.01%
  39    9   8.168093e+01     0.01%
  40   26   7.538826e+01     0.01%
  41   48   6.707713e+01     0.01%
  42  105   6.685723e+01     0.01%
  43   62   6.046879e+01     0.01%
  44  108   5.925449e+01     0.01%
  45   16   5.901717e+01     0.01%
  46   84   5.815618e+01     0.01%
  47   52   5.559099e+01     0.01%
  48   38   5.512830e+01     0.01%
  49   37   5.172611e+01     0.01%
  50   70   5.109356e+01     0.01%
  51   46   4.944096e+01     0.01%
  52   50   4.885539e+01     0.01%
  53   51   4.663619e+01     0.01%
  54   56   4.513986e+01     0.01%
  55   74   4.243019e+01     0.01%
  56   64   4.119195e+01     0.01%
  57   80   3.863350e+01     0.00%
  58   97   3.799541e+01     0.00%
  59   77   3.776155e+01     0.00%
  60  101   3.580481e+01     0.00%
  61  100   3.201353e+01     0.00%
  62   63   3.050373e+01     0.00%
  63   35   2.812464e+01     0.00%
  64   75   2.795132e+01     0.00%
  65  120   2.557882e+01     0.00%
  66   78   2.468614e+01     0.00%
  67  117   2.416072e+01     0.00%
  68  119   2.345689e+01     0.00%
  69   69   2.158717e+01     0.00%
  70   47   2.123318e+01     0.00%
  71   44   2.076451e+01     0.00%
  72   76   2.054273e+01     0.00%
  73   43   2.014390e+01     0.00%
  74  118   1.933742e+01     0.00%
  75   85   1.932591e+01     0.00%
  76   81   1.914353e+01     0.00%
  77   54   1.882113e+01     0.00%
  78   61   1.827749e+01     0.00%
  79  104   1.809159e+01     0.00%
  80   27   1.683562e+01     0.00%
  81  122   1.520143e+01     0.00%
  82  114   1.501844e+01     0.00%
  83   40   1.453310e+01     0.00%
  84   79   1.450103e+01     0.00%
  85   82   1.448247e+01     0.00%
  86   67   1.373886e+01     0.00%
  87   89   1.288550e+01     0.00%
  88   71   1.254405e+01     0.00%
  89   83   1.247708e+01     0.00%
  90  103   1.206795e+01     0.00%
  91   88   1.197738e+01     0.00%
  92  109   1.122889e+01     0.00%
  93   39   1.106131e+01     0.00%
  94   66   1.104472e+01     0.00%
  95  107   1.103815e+01     0.00%
  96   34   1.024582e+01     0.00%
  97   49   1.010277e+01     0.00%
  98   94   9.289457e+00     0.00%
  99   99   9.135272e+00     0.00%
 100   55   8.857807e+00     0.00%
 101   68   8.728564e+00     0.00%
 102   73   8.629917e+00     0.00%
 103  112   7.349231e+00     0.00%
 104   65   7.333003e+00     0.00%
 105   87   6.870025e+00     0.00%
 106   86   6.645876e+00     0.00%
 107   95   6.609181e+00     0.00%
 108   93   6.319998e+00     0.00%
 109   60   6.111735e+00     0.00%
 110   72   5.998433e+00     0.00%
 111  110   5.980737e+00     0.00%
 112   91   5.444104e+00     0.00%
 113  115   5.302434e+00     0.00%
 114   57   4.640950e+00     0.00%
 115   90   4.042069e+00     0.00%
 116  102   3.689864e+00     0.00%
 117  113   3.641405e+00     0.00%
 118  116   3.348249e+00     0.00%
 119   58   3.311026e+00     0.00%
 120  106   2.719206e+00     0.00%
 121  121   2.708363e+00     0.00%
 122  111   2.430479e+00     0.00%
 123   98   1.928769e+00     0.00%
