cluster_a  best_cluster_c  passes  score    iou    inter  lam_ratio  ang_diff_deg  thetaA_deg  thetaC_deg  lamA_med  lamC_med
       11             239       1   0.021  0.201   2968     1.189           7.1        10.7        17.8      49.4      41.5
       12             210       1   0.143  0.356   3800     1.000           1.5         5.9         7.3      29.3      29.3
       13             239       1   0.049  0.636   2908     1.000          11.9         5.8        17.8      41.5      41.5
       14             239       0   0.040  0.087    536     2.181           0.0        20.0        20.0      19.0      41.5
       15             218       0   0.000  0.056   1452     2.000          75.4        87.9        12.5      90.5      45.3
       16             224       1   0.050  0.315    184     1.091           4.7        22.6        17.8      19.0      20.7
       17             239       0   0.041  0.209   1412     1.414           2.6        17.4        20.0      29.3      41.5
       18             231       1   0.077  0.393    960     1.091           3.7        10.2        13.9      24.7      22.6
       19             231       0   0.010  0.325    404     1.091          28.4       166.0        14.4      20.7      22.6
       20             210       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       21             210       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       22             258       0   0.000  0.058    344     3.668          85.8        90.7         4.9      17.4      64.0
       23             210       1   0.103  0.269   2692     1.000           1.6         6.2         4.6      26.9      26.9
       24             210       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       25             226       1   0.206  0.612   1672     1.091           1.7        31.2        32.9      22.6      24.7
       26             254       0   0.000  0.002     12     1.091          90.0        90.0         0.0      32.0      34.9
       27             247       0   0.000  0.002     32     5.187          40.0        10.0        50.0      16.0      83.0
       28             210       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       29             231       0   0.028  0.375    416     1.297           9.4         2.5        11.9      17.4      22.6
       30             234       0   0.005  0.059    712     5.187           1.2        18.8        20.0      19.0      98.7
       31             259       0   0.011  0.024     32     2.181           0.0         0.0         0.0      22.6      49.4
       32             212       1   0.217  0.364    364     1.091           0.5         0.0         0.5      19.0      17.4
       33             210       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       34             231       1   0.087  0.322    564     1.091           2.4         7.6        10.0      20.7      22.6
       35             214       1   0.355  0.355    676     1.000           0.0       170.0       170.0      22.6      22.6
       36             239       0   0.000  0.001      4     2.181           0.0        20.0        20.0      22.6      49.4
       37             240       1   0.100  0.593    216     1.091           4.4        20.0        24.4      20.7      22.6
       38             210       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       39             224       0   0.006  0.584    208     1.297          72.7        89.8        17.1      16.0      20.7
       40             210       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       41             265       0   0.001  0.140    232     2.000          88.0        78.0       170.0      19.0      38.1
       42             210       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       43             249       0   0.003  0.256    452     1.091          80.9       100.0         0.9      22.6      20.7
       44             210       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       45             210       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       46             247       0   0.000  0.019    336     4.000          30.0        80.0        50.0      19.0      76.1
       47             231       1   0.011  0.132    220     1.091          10.2        20.0         9.8      20.7      22.6
       48             210       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       49             258       0   0.000  0.061    340     4.000          88.6        92.2         3.6      16.0      64.0
       50             210       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       51             210       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       52             210       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       53             239       0   0.001  0.089    264     3.084          42.4       157.6        20.0      16.0      49.4
       54             231       0   0.003  0.096     92     1.000          26.5       170.0        16.5      26.9      26.9
       55             210       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       56             210       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       57             210       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       58             251       1   0.041  0.482    536     1.091           9.8        11.4        21.2      16.0      17.4
       59             222       0   0.009  0.443   1928     1.000          50.8        90.7        39.9      32.0      32.0
       60             210       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
