Red noise filter diagnostics

name                  = base
WHITE_NOISE_THRESHOLD = 0.02
WPS_NOISE_THRESHOLD   = 8.0

n_coeff_total        = 22680000
n_zero_after_white   = 11306062
n_zero_after_scaled  = 18154251
sMAD_WPS min         = 0.0
sMAD_WPS median      = 0.0
WPS_scaled min       = -0.6744907594765952
WPS_scaled median    = -7.149400120145643e-17
WPS_scaled max       = 57.89125306464176
