image_index,wavelength_km,pt1,pt2,pt3,pt4,pt5,pt6,pt7
0,26.908685288118868,-0.5436013497985185,0.12622029051459704,0.7539680915451981,1.0,0.7557355097457195,0.1175104443050683,-0.5501168239350027
1,26.908685288118868,-0.2265772866130059,0.4614649714295027,0.9358016432265073,0.9405395757127426,0.46162529721034207,-0.25723966580034563,-0.8191051246271696
2,25.39841683149119,0.09683054484110465,0.7168367285306012,0.9868169054126146,0.7342882169378224,0.09633248820599749,-0.6004554796392159,-0.9743293544347926
3,25.39841683149119,0.40294152375119285,0.8809284142855309,0.9163236444366125,0.4393027542369692,-0.27000020537792224,-0.8440800387470581,-0.9776525494979311
4,25.39841683149119,0.6321934518691057,0.9282830375126705,0.7202173984683338,0.11067624317296376,-0.560984951524731,-0.9370460945552177,-0.8183679688466841
5,25.39841683149119,0.7769593302171622,0.8771844785303293,0.4728074077678539,-0.20325218534860534,-0.7604384905917911,-0.9145877201796764,-0.5287311536456416
6,25.39841683149119,0.8322851706095933,0.7372504191864064,0.18836840063656468,-0.46792250607025476,-0.8686015055411375,-0.7814856392392637,-0.15973674410368222
7,23.972913230026904,0.8221868545210842,0.5184800342410847,-0.11356086162195511,-0.6804772162603752,-0.8660451238132634,-0.46163478705948247,0.2383811553260875
8,23.972913230026904,0.7138368632619374,0.23616202655507568,-0.4164984768212321,-0.8300423298790877,-0.7208152308589947,-0.14431210852832088,0.5386325684199109
9,23.972913230026904,0.5669316870886976,-0.03911533444174531,-0.6478517323111854,-0.8666286931803747,-0.5260794136197681,0.16902374254055164,0.7735977327390702
10,23.972913230026904,0.3534402387912665,-0.2743085729234328,-0.7595066343049068,-0.7463550671750301,-0.23336532970005264,0.4471558549946768,0.8716304054700816
