ix,iy,x_disp,y_disp
8.000,72.000,8.000,27.000
9.000,71.000,9.000,28.000
10.000,71.000,10.000,28.000
11.000,70.000,11.000,29.000
12.000,70.000,12.000,29.000
13.000,69.000,13.000,30.000
14.000,68.000,14.000,31.000
15.000,68.000,15.000,31.000
16.000,67.000,16.000,32.000
17.000,67.000,17.000,32.000
18.000,66.000,18.000,33.000
19.000,65.000,19.000,34.000
20.000,65.000,20.000,34.000
21.000,64.000,21.000,35.000
22.000,64.000,22.000,35.000
23.000,63.000,23.000,36.000
24.000,62.000,24.000,37.000
25.000,62.000,25.000,37.000
26.000,61.000,26.000,38.000
27.000,60.000,27.000,39.000
28.000,60.000,28.000,39.000
29.000,59.000,29.000,40.000
30.000,58.000,30.000,41.000
31.000,58.000,31.000,41.000
32.000,57.000,32.000,42.000
33.000,56.000,33.000,43.000
34.000,55.000,34.000,44.000
35.000,55.000,35.000,44.000
36.000,54.000,36.000,45.000
37.000,54.000,37.000,45.000
38.000,53.000,38.000,46.000
39.000,52.000,39.000,47.000
40.000,51.000,40.000,48.000
41.000,51.000,41.000,48.000
42.000,50.000,42.000,49.000
43.000,49.000,43.000,50.000
44.000,49.000,44.000,50.000
45.000,48.000,45.000,51.000
46.000,47.000,46.000,52.000
47.000,47.000,47.000,52.000
48.000,46.000,48.000,53.000
49.000,45.000,49.000,54.000
50.000,44.000,50.000,55.000
51.000,43.000,51.000,56.000
52.000,43.000,52.000,56.000
53.000,42.000,53.000,57.000
54.000,42.000,54.000,57.000
55.000,41.000,55.000,58.000
56.000,40.000,56.000,59.000
57.000,40.000,57.000,59.000
58.000,39.000,58.000,60.000
59.000,38.000,59.000,61.000
60.000,38.000,60.000,61.000
61.000,37.000,61.000,62.000
62.000,37.000,62.000,62.000
63.000,37.000,63.000,62.000
