ix,iy,x_disp,y_disp
7.000,48.000,7.000,51.000
8.000,47.000,8.000,52.000
9.000,47.000,9.000,52.000
10.000,46.000,10.000,53.000
11.000,46.000,11.000,53.000
12.000,45.000,12.000,54.000
13.000,44.000,13.000,55.000
14.000,44.000,14.000,55.000
15.000,43.000,15.000,56.000
16.000,43.000,16.000,56.000
17.000,42.000,17.000,57.000
18.000,42.000,18.000,57.000
19.000,41.000,19.000,58.000
20.000,41.000,20.000,58.000
21.000,40.000,21.000,59.000
22.000,40.000,22.000,59.000
23.000,39.000,23.000,60.000
24.000,38.000,24.000,61.000
25.000,38.000,25.000,61.000
26.000,37.000,26.000,62.000
27.000,37.000,27.000,62.000
28.000,37.000,28.000,62.000
29.000,36.000,29.000,63.000
