ix,iy,x_disp,y_disp
6.000,55.000,6.000,44.000
7.000,55.000,7.000,44.000
8.000,54.000,8.000,45.000
9.000,53.000,9.000,46.000
10.000,52.000,10.000,47.000
11.000,51.000,11.000,48.000
12.000,51.000,12.000,48.000
13.000,50.000,13.000,49.000
14.000,49.000,14.000,50.000
15.000,48.000,15.000,51.000
16.000,47.000,16.000,52.000
17.000,46.000,17.000,53.000
18.000,45.000,18.000,54.000
19.000,44.000,19.000,55.000
20.000,44.000,20.000,55.000
21.000,43.000,21.000,56.000
22.000,42.000,22.000,57.000
23.000,41.000,23.000,58.000
24.000,40.000,24.000,59.000
25.000,40.000,25.000,59.000
26.000,39.000,26.000,60.000
27.000,39.000,27.000,60.000
28.000,38.000,28.000,61.000
29.000,38.000,29.000,61.000
30.000,37.000,30.000,62.000
31.000,37.000,31.000,62.000
32.000,36.000,32.000,63.000
33.000,35.000,33.000,64.000
34.000,35.000,34.000,64.000
35.000,34.000,35.000,65.000
36.000,33.000,36.000,66.000
37.000,33.000,37.000,66.000
38.000,32.000,38.000,67.000
39.000,32.000,39.000,67.000
40.000,31.000,40.000,68.000
41.000,30.000,41.000,69.000
42.000,30.000,42.000,69.000
43.000,29.000,43.000,70.000
44.000,28.000,44.000,71.000
45.000,28.000,45.000,71.000
46.000,27.000,46.000,72.000
