L6A: l6/awe_l6a_tmp_2024165T2120_03175_v01.nc
L6C: l6/awe_l6c_q20_2024165T2120_03175_v01.nc

slice  nA  nC  nBestSaved  nPassed  note
    0   7  89           7        5  ok
    1  26  42          26        6  ok
    2   1  39           1        0  ok
    3   1  35           1        0  ok
    4   8  494           8        8  ok
    5  13  396          13       11  ok
    7  14   0           0        0  no L6C clusters
    8   5   0           0        0  no L6C clusters
