image_index,wavelength_km,pt1,pt2,pt3,pt4,pt5,pt6,pt7
0,17.959392772949965,-0.04856768357599628,0.46858327967171287,0.870848432748401,1.0,0.8206827851690388,0.38364217302217285,-0.13071887349053002
1,16.951409509748725,0.10394684499841955,0.6260832617329672,0.9477820792899074,0.9250100774270136,0.5632215920119086,-0.006283016834431221,-0.5386573828993735
2,16.951409509748725,0.371563526224731,0.8204331865068368,0.9571111003316184,0.7054652332465514,0.17257348263931083,-0.43981783063277047,-0.85226743852248
3,16.0,0.656201988956016,0.9745814715319268,0.883763264528167,0.440041521334664,-0.17944825931503972,-0.7296903640226098,-0.9484386167826696
4,16.0,0.8581625444876735,0.9826924880455019,0.6939108856205289,0.12216772888912875,-0.5076429406087167,-0.9342637446842936,-0.9386135671409918
5,16.0,0.9936215207742121,0.8523605164153958,0.33853301300962113,-0.30992695979463103,-0.8259925305221985,-0.985689377149866,-0.70370716134347
6,16.951409509748725,0.9223554702844263,0.5096006178138155,-0.14629934370714504,-0.7228450486234053,-0.9864406058517894,-0.8164852712104479,-0.3055844003233191
7,16.951409509748725,0.5725079156006563,-0.012808771900884808,-0.6250160843065076,-0.9652482290976414,-0.9168753501641423,-0.48299883845920966,0.13139009419613012
8,16.951409509748725,0.15973779761844087,-0.4458505817822277,-0.9008446894863944,-0.9796505024806869,-0.6782855526604774,-0.09151728827855887,0.5033647062947733
9,16.951409509748725,-0.2438057223434308,-0.7698607706036623,-0.9999805593774561,-0.8181591789257239,-0.3121795963302766,0.3401425860262586,0.8275980873461009
10,16.951409509748725,-0.5421599532871113,-0.937783277977222,-0.9547427827178611,-0.5844738099574771,0.013572809639837091,0.6171755032338626,0.9323504843028523
