Red noise filter diagnostics

name                  = base
WHITE_NOISE_THRESHOLD = 0.02
WPS_NOISE_THRESHOLD   = 8.0

n_coeff_total        = 22680000
n_zero_after_white   = 20976827
n_zero_after_scaled  = 20976827
sMAD_WPS min         = 0.0
sMAD_WPS median      = 0.0
WPS_scaled min       = nan
WPS_scaled median    = nan
WPS_scaled max       = nan
