Cluster power ranking (clustered only)

name = wnoisep1
MIN_AMP = 1.2
THR = 0.25
WHITE_NOISE_THRESHOLD = 0.1
WPS_NOISE_THRESHOLD = 8.0

rank  kcl      P_abs           P_pct
   1    6   1.681056e+04    34.79%
   2    0   5.868807e+03    12.14%
   3    2   5.709604e+03    11.82%
   4    7   5.314071e+03    11.00%
   5    1   3.819209e+03     7.90%
   6    8   2.325185e+03     4.81%
   7    3   1.991878e+03     4.12%
   8   11   1.911726e+03     3.96%
   9    5   1.586707e+03     3.28%
  10    4   1.383632e+03     2.86%
  11   12   6.346446e+02     1.31%
  12   10   4.915049e+02     1.02%
  13    9   4.767269e+02     0.99%
