image_index,wavelength_km,pt1,pt2,pt3,pt4,pt5,pt6,pt7
0,21.357437666720546,-0.5116122335645044,0.18740024606959138,0.7636511431328148,1.0,0.7408132944268995,0.06067815664339249,-0.63657040864227
1,20.15873679831797,-0.2828289258501596,0.4274450251352868,0.9029556446901157,0.9579364609322545,0.49950281801837537,-0.18379534765207584,-0.8011389391290309
2,20.15873679831797,-0.03529030235498076,0.6506912192951169,0.9862675991784917,0.8239470279402477,0.21879239104756065,-0.4665497543291057,-0.9389088497814756
3,20.15873679831797,0.2261604846385643,0.8222844456503537,0.9910287263302553,0.647522271215702,-0.04077019880235877,-0.6755985779716467,-0.9881008443677806
4,20.15873679831797,0.49055980358677775,0.9498225788386045,0.919244329637573,0.4077147014568925,-0.3188669282382284,-0.8521027728067012,-0.9680482485738963
5,20.15873679831797,0.697577107207143,0.9954214778506729,0.7765980780317634,0.13537038047625805,-0.57389596730331,-0.9625776433122798,-0.8709666470993782
6,21.357437666720546,0.8710932518710193,0.9622475997102029,0.5545962001127775,-0.1651063064545808,-0.7886798156573669,-0.9921266043033792,-0.6980492562273548
7,21.357437666720546,0.9638290552991269,0.8465519996189605,0.30822185366941435,-0.4225941336355904,-0.9256600308348555,-0.9282709045525078,-0.47171390135446767
8,21.357437666720546,0.9728757102134478,0.6559175974706424,0.023141733060140446,-0.6477991257422986,-0.9611196536186309,-0.767399649063244,-0.17205762093484667
9,21.357437666720546,0.9034298092529336,0.4166760443535735,-0.2581156185372516,-0.833821159138935,-0.939096754165377,-0.5889582076484268,0.07232278766188083
10,21.357437666720546,0.7582935800395372,0.1439293067922105,-0.5174884212444428,-0.9428510584624382,-0.8384233813601293,-0.34847508634118196,0.34622536189484965
