slice,cluster_in_slice,global_cluster_index,status,point_source,selection_method,selected_y,selected_x,raw_peak_y,raw_peak_x,selected_global_x,latitude,longitude,amplitude_K,target_wavelength_km,target_dominant_angle_deg,target_bearing_deg,target_true_angle_deg,temperature_K,u_navgem_m_per_s,v_navgem_m_per_s,NN_or_N2_navgem,intrinsic_speed_c_minus_w_m_per_s,m2_1_per_m2,lambda_z_km,New_MF_m2_s2,New_MF_u_m2_s2,New_MF_v_m2_s2,MF_m2_s2,MFz_m2_s2,MFm_m2_s2,finite_pixels,phase_speed_m_per_s,phase_speed_error_m_per_s,phase_direction,phase_avg_wavelength_km,phase_avg_wavelength_error_km,phase_avg_angle_deg,phase_avg_angle_error_deg,phase_closest_frame,phase_closest_distance_km,phase_fit_sse,excluded_from_mf_sums_sse_gt_threshold,phase_summary_csv,phase_output_dir,plot_path,file,orbit_tag,orbit_id,version
2,0,0,ok,saved representative point,1,75,430,24,428,1630,50.400203704833984,-103.08035278320312,0.7555354237556458,40.36302947998047,100.0000005060238,353.0450134277344,93.0450210571289,181.63999938964844,-18.678613662719727,-46.95173645019531,0.00033696877653710544,107.56719182845711,2.912259020338066e-08,36.81839636792218,2.12237456737366,-0.11274160811701948,2.1193780064051144,0.48560911417007446,0.0013702946016564965,0.4842388331890106,7340,-61.67396348381436,8.482052632199347,-1,32.745773684367144,4.503543475777799,94.23109797831272,10.3019447108255,359,146.58935464521576,0.9128804023131719,True,AWE\01770\remap85_from_l7a\slice_002\cluster_000_global_00000\awe_radiance_pre_interpolation_frames\overlays_crests_phase\ROI_23_80x80\phase_speed_from_l7a_point_summary.csv,AWE\01770\remap85_from_l7a\slice_002\cluster_000_global_00000,plots_l7a_cluster_debug\01770\slice_002\awe_l7a_tmp_2024075T0538_01770_v23_slice_002_cluster_000_global_00000_info.png,l7\2024\03_v23\awe_l7a_tmp_2024075T0538_01770_v23.nc,2024075T0538_01770,01770,v23
2,1,1,ok,saved representative point,1,75,506,66,502,1706,50.269962310791016,-100.97471618652344,1.2099403142929077,24.0,130.00000134084985,351.3816223144531,121.38162994384766,184.1199951171875,-22.34886932373047,-41.73202133178711,0.0003619031922426075,47.26288778437594,1.620137619803553e-07,15.610036376226997,3.51698200200343,-1.8314186039741558,3.0025103329436535,2.0384433269500732,0.5527564287185669,1.4856868982315063,6848,-23.273373434291933,3.5234091717679874,-1,21.268282799952935,3.219853920046438,121.3010382450265,8.22616083359366,378,147.5006692799077,0.690695856417892,True,AWE\01770\remap85_from_l7a\slice_002\cluster_001_global_00001\awe_radiance_pre_interpolation_frames\overlays_crests_phase\ROI_22_80x80\phase_speed_from_l7a_point_summary.csv,AWE\01770\remap85_from_l7a\slice_002\cluster_001_global_00001,plots_l7a_cluster_debug\01770\slice_002\awe_l7a_tmp_2024075T0538_01770_v23_slice_002_cluster_001_global_00001_info.png,l7\2024\03_v23\awe_l7a_tmp_2024075T0538_01770_v23.nc,2024075T0538_01770,01770,v23
2,2,2,ok,saved representative point,1,224,74,248,70,1274,53.07624053955078,-113.05894470214844,1.004085898399353,52.3443717956543,79.99999767274336,0.9479665756225586,80.94796752929688,192.30999755859375,0.8014824390411377,-58.25617980957031,0.0004660777631215751,210.96301869466544,1.0472387907862058e-08,61.39839352647202,3.1089271466293007,0.48913190464496065,3.0702081334832982,0.5899999141693115,0.01460437010973692,0.5753955245018005,6816,-153.55846785514058,21.313051059576548,-1,45.60686495297676,6.329976164694236,88.1441319914496,11.300262038054163,268,145.97573131023748,1.446458248358462,True,AWE\01770\remap85_from_l7a\slice_002\cluster_002_global_00002\awe_radiance_pre_interpolation_frames\overlays_crests_phase\ROI_22_80x80\phase_speed_from_l7a_point_summary.csv,AWE\01770\remap85_from_l7a\slice_002\cluster_002_global_00002,plots_l7a_cluster_debug\01770\slice_002\awe_l7a_tmp_2024075T0538_01770_v23_slice_002_cluster_002_global_00002_info.png,l7\2024\03_v23\awe_l7a_tmp_2024075T0538_01770_v23.nc,2024075T0538_01770,01770,v23
3,0,3,ok,saved representative point,1,128,598,24,598,2398,48.132843017578125,-82.2984619140625,3.325744390487671,26.17218589782715,109.99999850756943,336.9367980957031,86.93680572509766,197.67999267578125,0.22673150897026062,-42.777008056640625,0.00037136688479222357,76.5744175811956,6.333383262920083e-08,24.96674832041383,32.946934714354796,1.7606024754281568,32.899859969238065,12.25169563293457,0.03498535975813866,12.216711044311523,92508,-33.87064549712701,4.508012576973713,-1,24.02288170184292,3.1973247411610584,86.0745569878371,9.375956692716631,562,43.61708255271282,0.004435088750104774,False,AWE\01770\remap85_from_l7a\slice_003\cluster_000_global_00003\awe_radiance_pre_interpolation_frames\overlays_crests_phase\ROI_22_80x80\phase_speed_from_l7a_point_summary.csv,AWE\01770\remap85_from_l7a\slice_003\cluster_000_global_00003,plots_l7a_cluster_debug\01770\slice_003\awe_l7a_tmp_2024075T0538_01770_v23_slice_003_cluster_000_global_00003_info.png,l7\2024\03_v23\awe_l7a_tmp_2024075T0538_01770_v23.nc,2024075T0538_01770,01770,v23
3,1,4,ok,saved representative point,0,126,598,126,598,2398,48.1002082824707,-82.31935119628906,2.8534882068634033,28.540969848632812,109.99999850756943,336.9596862792969,86.95968627929688,193.6699981689453,0.4500616192817688,-42.64366149902344,0.0003708082076627761,75.38265833644428,6.525389522760049e-08,24.596688872556793,22.862828082671264,1.212612670921371,22.830647788621828,8.61673355102539,0.024239610880613327,8.592494010925293,12212,-32.82289004528139,4.615564048055805,-1,25.8878628207763,3.640358565371152,86.06704244053697,9.513272106531105,562,47.54959158077022,0.0022150967426755076,False,AWE\01770\remap85_from_l7a\slice_003\cluster_001_global_00004\awe_radiance_pre_interpolation_frames\overlays_crests_phase\ROI_22_80x80\phase_speed_from_l7a_point_summary.csv,AWE\01770\remap85_from_l7a\slice_003\cluster_001_global_00004,plots_l7a_cluster_debug\01770\slice_003\awe_l7a_tmp_2024075T0538_01770_v23_slice_003_cluster_001_global_00004_info.png,l7\2024\03_v23\awe_l7a_tmp_2024075T0538_01770_v23.nc,2024075T0538_01770,01770,v23
3,2,5,ok,saved representative point,0,124,336,124,336,2136,49.597496032714844,-89.01476287841797,2.6925337314605713,26.17218589782715,120.00000333930423,342.0523376464844,102.05233764648438,192.8800048828125,-0.8268485069274902,-22.9123477935791,0.0005164295434951782,49.906740775795,2.073445678057933e-07,13.798552727155823,9.0151768748891,-1.8824154841955365,8.816457680406348,8.43513011932373,0.3677680790424347,8.067362785339355,54548,-27.672094131573342,3.9629610592583124,-1,23.58704776919041,3.377935597057489,101.1526163471243,9.064551016725355,493,51.3357132763844,0.012791451947922139,False,AWE\01770\remap85_from_l7a\slice_003\cluster_002_global_00005\awe_radiance_pre_interpolation_frames\overlays_crests_phase\ROI_22_80x80\phase_speed_from_l7a_point_summary.csv,AWE\01770\remap85_from_l7a\slice_003\cluster_002_global_00005,plots_l7a_cluster_debug\01770\slice_003\awe_l7a_tmp_2024075T0538_01770_v23_slice_003_cluster_002_global_00005_info.png,l7\2024\03_v23\awe_l7a_tmp_2024075T0538_01770_v23.nc,2024075T0538_01770,01770,v23
3,3,6,ok,saved representative point,0,182,420,182,420,2220,50.11892318725586,-86.29019165039062,2.66373872756958,24.0,109.99999850756943,339.9613037109375,89.9613037109375,190.1699981689453,-6.5250749588012695,-31.088220596313477,0.00045195757411420345,38.37809897400884,3.068532672503112e-07,11.342648985843542,9.297126241000992,0.006279312987655157,9.297124120465298,9.261299133300781,4.224142230668804e-06,9.261295318603516,7424,-7.285478409017694,1.104446139557863,-1,20.66901098486692,3.133330182196398,91.46517530295354,7.623625329899746,515,63.102882245155946,0.0444406001516206,False,AWE\01770\remap85_from_l7a\slice_003\cluster_003_global_00006\awe_radiance_pre_interpolation_frames\overlays_crests_phase\ROI_22_80x80\phase_speed_from_l7a_point_summary.csv,AWE\01770\remap85_from_l7a\slice_003\cluster_003_global_00006,plots_l7a_cluster_debug\01770\slice_003\awe_l7a_tmp_2024075T0538_01770_v23_slice_003_cluster_003_global_00006_info.png,l7\2024\03_v23\awe_l7a_tmp_2024075T0538_01770_v23.nc,2024075T0538_01770,01770,v23
3,4,7,ok,saved representative point,0,152,206,152,206,2006,50.66810607910156,-92.26979064941406,2.5790629386901855,176.0647735595703,120.00000333930423,344.57537841796875,104.57536315917969,186.35000610351562,-9.42142391204834,-34.2623176574707,0.0005077160312794149,65.08703216581783,1.1984831665390945e-07,18.149467986269407,1.7622986552615365,-0.44348869509388766,1.7055832807753892,1.2324703931808472,0.07805158197879791,1.1544188261032104,174388,-34.298300075192486,4.721478190148062,-1,151.61443903006023,20.87112963682195,107.46801219215264,10.605372017893236,459,4.439722356890095,0.0033604138587059883,False,AWE\01770\remap85_from_l7a\slice_003\cluster_004_global_00007\awe_radiance_pre_interpolation_frames\overlays_crests_phase\ROI_22_120x120\phase_speed_from_l7a_point_summary.csv,AWE\01770\remap85_from_l7a\slice_003\cluster_004_global_00007,plots_l7a_cluster_debug\01770\slice_003\awe_l7a_tmp_2024075T0538_01770_v23_slice_003_cluster_004_global_00007_info.png,l7\2024\03_v23\awe_l7a_tmp_2024075T0538_01770_v23.nc,2024075T0538_01770,01770,v23
3,5,8,ok,saved representative point,0,86,598,86,598,2398,47.44706344604492,-82.73270416259766,1.7042020559310913,24.0,90.00000250447816,337.25445556640625,67.25444793701172,196.0800018310547,4.901943683624268,-40.30686950683594,0.0003606714017223567,71.24104091260469,7.106425294968775e-08,23.569711728648702,9.320748459776299,3.6037667823135693,8.595883714262051,3.565728187561035,0.5330406427383423,3.0326876640319824,7832,-35.96407761187301,4.635577390352821,-1,22.26726994288216,2.8701320858575388,74.63334821079842,7.293184627994094,561,126.37219443719444,0.02325460518219475,False,AWE\01770\remap85_from_l7a\slice_003\cluster_005_global_00008\awe_radiance_pre_interpolation_frames\overlays_crests_phase\ROI_22_80x80\phase_speed_from_l7a_point_summary.csv,AWE\01770\remap85_from_l7a\slice_003\cluster_005_global_00008,plots_l7a_cluster_debug\01770\slice_003\awe_l7a_tmp_2024075T0538_01770_v23_slice_003_cluster_005_global_00008_info.png,l7\2024\03_v23\awe_l7a_tmp_2024075T0538_01770_v23.nc,2024075T0538_01770,01770,v23
3,6,9,ok,saved representative point,0,176,402,176,402,2202,50.127105712890625,-86.81490325927734,2.5368363857269287,37.0130615234375,120.00000333930423,340.3602294921875,100.3602294921875,174.6300048828125,-6.140951633453369,-30.160449981689453,0.0004675539385061711,52.01701721867451,1.7279884270488856e-07,15.115045317106164,8.35244856431035,-1.502074584324323,8.21627464016247,6.459160804748535,0.2088964283466339,6.2502641677856445,60196,-23.45265419251706,3.146469002161162,-1,34.291388530104946,4.600621753313797,99.20872462121339,8.817608196541514,510,51.300754294301896,0.009725850312550854,False,AWE\01770\remap85_from_l7a\slice_003\cluster_006_global_00009\awe_radiance_pre_interpolation_frames\overlays_crests_phase\ROI_22_80x80\phase_speed_from_l7a_point_summary.csv,AWE\01770\remap85_from_l7a\slice_003\cluster_006_global_00009,plots_l7a_cluster_debug\01770\slice_003\awe_l7a_tmp_2024075T0538_01770_v23_slice_003_cluster_006_global_00009_info.png,l7\2024\03_v23\awe_l7a_tmp_2024075T0538_01770_v23.nc,2024075T0538_01770,01770,v23
