L6A: l6/awe_l6a_tmp_2024165T2252_03176_v01.nc
L6C: l6/awe_l6c_q20_2024165T2252_03176_v01.nc

slice  nA  nC  nBestSaved  nPassed  note
    0   2  27           2        0  ok
    2  17  31          17        9  ok
    3  28  190          28       22  ok
    4   9  300           9        5  ok
    5   5  196           5        2  ok
    6  31  546          31       26  ok
    7  10  134          10        7  ok
    8   6   8           6        2  ok
