image_index,wavelength_km,pt1,pt2,pt3,pt4,pt5,pt6,pt7
0,20.15873679831797,-0.08839871219250983,0.47359126424253817,0.8748283175509979,1.0,0.815234257718902,0.40813656464449144,-0.08096433366596789
1,20.15873679831797,0.2116487163744063,0.7043713730873098,0.972191779522309,0.9475210175641766,0.6504501439485113,0.19132690672121933,-0.2930611925389651
2,20.15873679831797,0.5311176704083354,0.8981056916718013,0.9963123265007943,0.8024252323134979,0.39841659893332393,-0.09611756970904017,-0.5480334731369001
3,20.15873679831797,0.7871639812559481,0.992504522773785,0.9113491352264182,0.5885122419107964,0.12099614470831921,-0.36557769350385794,-0.7502997640077085
4,26.908685288118868,0.9246179822352047,0.9880968683333364,0.7699624472231366,0.3484960000753856,-0.15367394604676432,-0.6063431888217035,-0.9126506320234669
5,26.908685288118868,0.9949090955617377,0.8855275776177076,0.534647782874297,0.050926154520978484,-0.43631136501141476,-0.8095838899289218,-0.9906990829839528
6,26.908685288118868,0.9448914336441179,0.6512812907695262,0.18906226355763267,-0.3116184631398795,-0.724508802338091,-0.9644102764049255,-0.9712905346412316
7,26.908685288118868,0.7500283599819633,0.31363380482484704,-0.19393059771084364,-0.640871059542027,-0.9249821118270349,-0.9945991982000035,-0.8129347714211059
8,20.15873679831797,0.2817813161005345,-0.25315317132111814,-0.6931362091290856,-0.9437306068398494,-0.9858437116341594,-0.7958429288667004,-0.41829825977859747
9,20.15873679831797,-0.1821479498440417,-0.679533434915565,-0.9480240124091659,-0.9628029357533744,-0.7167235523312333,-0.3423816326557968,0.11784849665677344
10,20.15873679831797,-0.3022108723910426,-0.742473088344832,-0.9716113706307157,-0.9516755171101698,-0.6695880485451475,-0.21942969090266584,0.29046242026811697
