Cluster power ranking (clustered only)

name = wnoisep01
MIN_AMP = 0.2
THR = 0.1
WHITE_NOISE_THRESHOLD = 0.01
WPS_NOISE_THRESHOLD = 8.0

rank  kcl      P_abs           P_pct
   1    1   8.308836e+03    24.85%
   2    7   3.014465e+03     9.01%
   3    3   2.879742e+03     8.61%
   4    8   2.808850e+03     8.40%
   5    5   2.357873e+03     7.05%
   6    0   1.680246e+03     5.02%
   7    6   1.409389e+03     4.21%
   8   20   1.202797e+03     3.60%
   9   12   1.031606e+03     3.08%
  10   22   9.783489e+02     2.93%
  11   11   9.284168e+02     2.78%
  12   19   9.073563e+02     2.71%
  13   10   8.951313e+02     2.68%
  14   13   8.797975e+02     2.63%
  15    9   6.761430e+02     2.02%
  16   16   3.950192e+02     1.18%
  17    2   2.809754e+02     0.84%
  18   15   2.667704e+02     0.80%
  19   18   2.199233e+02     0.66%
  20   26   2.184677e+02     0.65%
  21   29   2.183753e+02     0.65%
  22   36   2.168389e+02     0.65%
  23   24   2.110917e+02     0.63%
  24   21   1.743954e+02     0.52%
  25   30   1.610107e+02     0.48%
  26   33   1.505575e+02     0.45%
  27   14   1.361838e+02     0.41%
  28   35   1.283416e+02     0.38%
  29    4   1.095614e+02     0.33%
  30   23   1.031716e+02     0.31%
  31   28   8.917833e+01     0.27%
  32   27   7.733679e+01     0.23%
  33   31   5.552985e+01     0.17%
  34   39   5.266993e+01     0.16%
  35   25   4.056601e+01     0.12%
  36   17   3.915725e+01     0.12%
  37   34   3.543433e+01     0.11%
  38   40   3.533064e+01     0.11%
  39   37   2.998490e+01     0.09%
  40   32   2.870747e+01     0.09%
  41   38   8.410773e+00     0.03%
