Red noise filter diagnostics

name                = wnoisep01
WHITE_NOISE_THRESHOLD = 0.01
WPS_NOISE_THRESHOLD   = 8.0

n_coeff_total        = 22680000
n_zero_after_white   = 3491173
n_zero_after_scaled  = 21323329
sMAD_WPS min         = 0.00016774806944557996
sMAD_WPS median      = 0.001062579405290863
WPS_scaled min       = -0.8535212675341054
WPS_scaled median    = 5.863109121335064e-17
WPS_scaled max       = 472.6268866518036
