image_index,wavelength_km,wavelength_error_km,angle_deg,angle_error_deg,pt1,pt2,pt3,pt4,pt5,pt6,pt7
0,26.3211478470264,4.5863394378810085,83.14093834019397,7.589773068950406,-0.21036752311076412,0.37517833647050614,0.8018462699889626,1.0,0.949222215639242,0.6484838930532548,0.17194680777622762
1,26.33350904648808,4.576430554016122,83.15804856295318,7.5800866963744955,-0.20720292150389086,0.3813272881046157,0.8036461665958632,1.0,0.9476351192424006,0.6460563932158985,0.16966051767890655
2,26.303319270441566,4.593610974120303,83.12656821357051,7.575356014129361,-0.2017377439632635,0.38596550302002863,0.8064377431218899,1.0,0.9436530375719394,0.6381951115322806,0.1594932227019794
3,26.295147624125438,4.596025415960391,83.14832240742011,7.567810774910076,-0.20148285185645376,0.3877113556535823,0.8070606193718581,1.0,0.9426144123980591,0.6359300885496673,0.15633070569895358
4,26.317856237119145,4.579430190156208,83.18792149383287,7.580271099702771,-0.19987630723889016,0.39292904399500084,0.8092466633163131,1.0,0.940367756708782,0.6315867869708229,0.1505120289335562
5,26.28719634896326,4.586434688765194,83.20811445395196,7.584133669664799,-0.2012638613041987,0.3928533384174586,0.8088052265380821,1.0,0.9405801847205757,0.631753532275559,0.15049726063483604
6,26.286635049631474,4.5777618605589,83.22752470487669,7.587125451968911,-0.1957975898359412,0.40037303000731095,0.8126338218302418,1.0,0.9362775278846884,0.6238931448799818,0.14093389217070285
7,26.264781232998722,4.576369319977474,83.23684396572878,7.600248432491021,-0.18992996843297671,0.4087974675720307,0.8163373100779658,1.0,0.9327379188167007,0.6175572223386718,0.13309993766814854
8,26.28453464042677,4.575759883416987,83.21470227436255,7.5971161956737925,-0.1858168575769884,0.4151554128878705,0.8191576559758535,1.0,0.9304126469402478,0.6138322311810676,0.12908360149030207
9,26.260858113157575,4.587449167079481,83.18884102414003,7.611983380911732,-0.18621585053484546,0.4189599268208155,0.8204490886773705,1.0,0.9291881986210664,0.6114282806364677,0.125786712283406
10,26.251907103160942,4.5839963738142036,83.18860576950577,7.618028774373177,-0.1761008545543371,0.42889143199989066,0.8249216579829928,1.0,0.9255524840078315,0.6058557487378378,0.12019339616554725
11,26.246136887912286,4.579160299710995,83.19566155799322,7.618195216003468,-0.17361788428017133,0.43077509116745016,0.8259723799539054,1.0,0.9236387924810241,0.6020502648142207,0.11542562396595812
12,26.228225189697405,4.577900554443087,83.18328595002164,7.627131275796893,-0.1849805611144233,0.42559716050496466,0.8228228044510582,1.0,0.9272121240279056,0.6083979645036777,0.12285419196754255
13,26.21958743610298,4.577598626286764,83.19276536559835,7.637179435737769,-0.165797290332793,0.4400147663370422,0.8300530802410133,1.0,0.9199350696322357,0.5959820145239185,0.10881652893293503
14,26.221127698525756,4.574258837530901,83.18537831349006,7.643322519779884,-0.1579885292335227,0.4475925125871294,0.8333818557671857,1.0,0.9171605503833355,0.591648438505872,0.10434758853744652
15,26.211654270530733,4.574958644152988,83.20461550768074,7.629796937547196,-0.1516328271552556,0.45466366548071946,0.8371143452741161,1.0,0.9125640216649149,0.5829217755205458,0.09335175610329971
16,26.208781376879823,4.574109725356429,83.18897720335838,7.633308240051445,-0.14640356220652972,0.46152576002343193,0.84052051306297,1.0,0.9090133349944125,0.5766428609457246,0.08596121904475762
17,26.22084033017586,4.576011784152534,83.17560700020022,7.632814174946345,-0.13739588996960583,0.4720564468909296,0.8454225079334146,1.0,0.9039446856124744,0.5675342725379251,0.07497478387950363
18,26.184219611705526,4.552603329574511,83.16661135896295,7.6661932655890705,-0.1257794081104523,0.48237017099126933,0.8507725488160776,1.0,0.8982603267488753,0.5574998373764459,0.06325511081876245
19,26.165907466085205,4.548183952689837,83.18108972259212,7.664683460949387,-0.11187208439631358,0.49445942268424936,0.856890775196713,1.0,0.892010960883393,0.5465215707465165,0.05038653679779359
20,26.164036202584185,4.548592517352926,83.18620364568261,7.6660844602536615,-0.08952834832561041,0.5072133784622064,0.8629377364189872,1.0,0.8863864083870141,0.53711172321664,0.039875247214856024
21,26.156253284341282,4.5411345526482,83.20827640323006,7.662370284758526,-0.07712802306482891,0.5148353680839572,0.8665332457512425,1.0,0.8832514943102168,0.5319301103030081,0.03407748689524559
22,26.136744347828074,4.554763561310082,83.18170721181923,7.654714313940647,-0.05935241981538797,0.5267271499922448,0.872921195954043,1.0,0.876802829321792,0.5212302536441056,0.022593250472702664
