cluster_a  best_cluster_c  passes  score    iou    inter  lam_ratio  ang_diff_deg  thetaA_deg  thetaC_deg  lamA_med  lamC_med
        0               1       1   0.170  0.609  41064     1.000           2.6        98.4        95.8      45.3      45.3
        1               4       1   0.457  0.516  11460     1.000           0.1       111.1       111.0      49.4      49.4
        2               2       1   0.077  0.265  13908     1.000           2.4        81.8        84.2      58.7      58.7
        3               9       1   0.102  0.233  14612     1.000           1.3        91.1        92.4     117.4     117.4
        4              12       1   0.044  0.052   1268     1.189           0.0       110.0       110.0      29.3      34.9
        5               5       1   0.352  0.504   9972     1.091           0.3        94.9        94.6      29.3      32.0
        6               2       1   0.107  0.489  14324     1.000           3.6        80.0        83.6      64.0      64.0
        7              35       1   0.046  0.350   7524     1.091           5.9        90.4        96.4      29.3      26.9
        8              32       1   0.084  0.232   2984     1.091           1.5       118.1       116.6      49.4      53.8
        9              53       1   0.222  0.242   2832     1.091           0.0        80.0        80.0      45.3      41.5
       10             121       1   0.196  0.275   2276     1.000           0.4       101.1       100.7      22.6      22.6
       11              82       1   0.046  0.127   1312     1.091           1.6       116.7       115.2      26.9      24.7
       12             257       0   0.022  0.045    548     1.682           0.2        89.8        90.0      58.7      34.9
       13              16       1   0.119  0.321   5980     1.000           1.7       111.7       110.0      64.0      64.0
       14             111       1   0.103  0.103   1248     1.000           0.0       102.4       102.4      26.9      26.9
       15             243       1   0.015  0.177    580     1.091           9.9        90.1       100.0      22.6      24.7
       16             152       0   0.009  0.142    616     1.542           8.9        98.9        90.0      19.0      29.3
       17             141       1   0.108  0.239   1480     1.189           0.9       120.9       120.0      34.9      29.3
       18             279       0   0.089  0.168    360     1.542           0.2        89.8        90.0      22.6      34.9
       19              29       1   0.531  0.580   2084     1.091           0.0        90.0        90.0      32.0      34.9
       20              12       0   0.026  0.115   1292     1.682           1.6       111.6       110.0      22.6      38.1
       21              10       1   0.214  0.414   7148     1.091           0.8        99.5        98.7      83.0      90.5
       22             118       0   0.012  0.213    940     1.682          10.0       130.0       120.0      45.3      26.9
       23              44       1   0.092  0.123   1064     1.091           0.2        90.2        90.0      49.4      45.3
       24              97       1   0.028  0.137   1180     1.000           4.0        96.0       100.0      38.1      38.1
       25               6       1   0.076  0.156   1940     1.000           1.0        79.4        80.4      41.5      41.5
       26              76       1   0.055  0.251   1492     1.091           3.2       116.2       113.0      24.7      22.6
       27             251       1   0.021  0.276    360     1.189          10.0       100.0        90.0      32.0      26.9
       28             121       1   0.066  0.072    320     1.091           0.0       100.0       100.0      24.7      22.6
       29              99       0   0.075  0.097    264     1.297           0.0       130.0       130.0      29.3      38.1
       30             270       1   0.173  0.188    244     1.091           0.0       110.0       110.0      29.3      32.0
       31             120       1   0.102  0.292   2060     1.000           1.9        81.9        80.0      41.5      41.5
       32             192       0   0.068  0.162    180     2.378           0.0       100.0       100.0      16.0      38.1
