L6A: l6/awe_l6a_tmp_2024166T0025_03177_v01.nc
L6C: l6/awe_l6c_q20_2024166T0025_03177_v01.nc

slice  nA  nC  nBestSaved  nPassed  note
    0  33  300          33       26  ok
    1   5  47           5        5  ok
    2   6  13           6        4  ok
    3  12  46          12        1  ok
    4  10  40          10        3  ok
    5   1  33           1        0  ok
    7  62  95          62        8  ok
    8   1   0           0        0  no L6C clusters
