cluster_a  best_cluster_c  passes  score    iou    inter  lam_ratio  ang_diff_deg  thetaA_deg  thetaC_deg  lamA_med  lamC_med
       73             249       1   0.023  0.131    524     1.000           4.7        64.1        59.3      24.0      24.0
       93             249       0   0.068  0.133    304     1.414           0.4        60.4        60.0      33.9      24.0
      112             165       1   0.036  0.210   3108     1.091           4.4        58.5        54.1      31.1      33.9
      118             172       0   0.005  0.112    596     1.091          18.5        80.3        61.8      24.0      26.2
      122             192       0   0.000  0.021   1196     6.169          26.5        90.0        63.5      28.5     176.1
      124             192       0   0.008  0.211  12020     1.414          18.6        40.0        58.6     124.5     176.1
      126             140       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      132             165       1   0.006  0.072   1152     1.000          10.4        70.0        59.6      33.9      33.9
      134             262       1   0.072  0.302   2724     1.091           2.9        40.0        37.1      57.1      52.3
      138             140       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      140             303       0   0.004  0.566    700     6.169          20.0        80.0       100.0      26.2     161.5
      142             200       0   0.014  0.403    992     1.000          28.8       128.8       100.0      24.0      24.0
