cluster_a  best_cluster_c  passes  score    iou    inter  lam_ratio  ang_diff_deg  thetaA_deg  thetaC_deg  lamA_med  lamC_med
      310             473       1   0.101  0.122   2212     1.091           0.1        90.1        90.0      53.8      58.7
      311             421       1   0.198  0.564   7912     1.000           1.8        39.0        40.8      24.7      24.7
      312             419       1   0.163  0.326   6596     1.091           0.8       160.2       159.4      45.3      49.4
      313             464       1   0.144  0.171   1204     1.189           0.0         0.0         0.0      49.4      41.5
      314             420       1   0.181  0.217   2956     1.000           0.2        43.2        43.4      53.8      53.8
      315             417       1   0.195  0.674  14624     1.091           2.2        12.2        10.0     117.4     107.6
      316             429       1   0.086  0.358   3160     1.091           2.8       167.1       169.9      45.3      41.5
      317             436       1   0.038  0.437    460     1.000          10.5        69.5        80.0      41.5      41.5
      318             423       1   0.215  0.574  10244     1.189           1.2        62.2        61.0      29.3      34.9
      319             460       1   0.233  0.547   1912     1.091           1.2         1.2         0.0      26.9      29.3
      320             540       1   0.091  0.255   1664     1.189           1.4        91.4        90.0      64.0      76.1
      321             460       1   0.381  0.647   1856     1.000           0.7         0.7         0.0      29.3      29.3
      322             422       1   0.013  0.079   1452     1.091           4.6        40.1        44.7      41.5      45.3
      323             434       1   0.115  0.621   4500     1.091           3.9        71.6        67.6      38.1      41.5
      324             448       1   0.236  0.502   1032     1.000           1.1        73.7        72.6      64.0      64.0
      325             423       1   0.067  0.198   3388     1.091           1.7        61.8        60.1      45.3      41.5
      326             689       1   0.337  0.368   1632     1.091           0.0       170.0       170.0      26.9      24.7
      327             524       1   0.287  0.316    784     1.000           0.1         0.0         0.1      22.6      22.6
      328             471       1   0.136  0.224   3072     1.189           0.4       148.7       148.3      69.8      83.0
      329             475       1   0.013  0.154    128     1.091          10.0         0.0       170.0      69.8      64.0
      330             433       1   0.158  0.518   4808     1.000           2.3       100.3        98.0      34.9      34.9
      331             439       1   0.058  0.641    672     1.091           9.2        40.3        49.5      34.9      38.1
      332             431       1   0.072  0.581   1684     1.000           7.1        45.7        38.6      38.1      38.1
      333             474       1   0.378  0.378    976     1.000           0.0        90.0        90.0      58.7      58.7
      334             484       1   0.173  0.540   2532     1.189           1.6        84.7        83.1      53.8      45.3
      335             890       1   0.120  0.399    484     1.091           2.0        70.2        72.2      22.6      20.7
      336             440       1   0.526  0.589   1464     1.091           0.0       100.0       100.0      34.9      32.0
      337             529       1   0.091  0.435   2832     1.000           3.8        76.2        80.0      41.5      41.5
      338             558       1   0.006  0.083    384     1.189          11.0        41.0        30.0      34.9      41.5
      339             435       1   0.018  0.229   1204     1.189          10.0        10.0         0.0      64.0      53.8
      340             462       1   0.262  0.678   4840     1.000           1.6        20.0        18.4      49.4      49.4
      341             428       1   0.148  0.523   1476     1.000           2.5       114.1       116.7      41.5      41.5
      342             426       1   0.076  0.426   4504     1.000           4.6       110.1       114.7      34.9      34.9
      343             538       1   0.011  0.145    932     1.189          10.0        30.0        20.0      58.7      69.8
      344             505       1   0.033  0.298   1140     1.000           8.1       128.1       120.0      64.0      64.0
      345             427       1   0.059  0.236   2188     1.000           3.0        24.7        21.7      26.9      26.9
      346             585       1   0.534  0.534    348     1.000           0.0        50.0        50.0      76.1      76.1
      347             548       1   0.061  0.218   2304     1.189           2.0        98.0       100.0      69.8      83.0
      348             507       1   0.282  0.307    948     1.091           0.0        70.0        70.0      38.1      41.5
      349             417       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      350             449       1   0.037  0.444    488     1.091          10.0        50.0        60.0      29.3      26.9
      351             461       1   0.310  0.338    208     1.091           0.0        50.0        50.0      49.4      53.8
      352             737       1   0.072  0.086    140     1.189           0.0        20.0        20.0      45.3      38.1
      353             457       1   0.111  0.393   2900     1.091           2.2       153.8       156.0      20.7      22.6
      354             417       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      355             464       1   0.720  0.720   1028     1.000           0.0         0.0         0.0      41.5      41.5
      356             425       1   0.028  0.217    956     1.189           5.5        10.0         4.5      38.1      45.3
      357             484       1   0.362  0.550   1396     1.091           0.4        80.0        80.4      41.5      45.3
      358             731       1   0.194  0.363    844     1.091           0.7       138.0       138.7      20.7      19.0
      359             589       1   0.023  0.300    944     1.189          10.0        20.0        30.0      58.7      69.8
      360             536       1   0.215  0.234    104     1.091           0.0       150.0       150.0      32.0      29.3
      361             538       0   0.001  0.059    812     1.297          30.0       170.0        20.0      83.0      64.0
      362             437       1   0.187  0.309   3732     1.091           0.5        51.6        52.1      38.1      34.9
      363             902       0   0.001  0.068    184     2.378          40.0        10.0        50.0      64.0      26.9
      364             453       1   0.023  0.291   1432     1.189           9.6        62.0        71.6      32.0      26.9
      365             537       1   0.042  0.462    316     1.000          10.0        40.0        50.0      38.1      38.1
      366            1077       0   0.013  0.047     12     3.668           0.0        80.0        80.0      58.7      16.0
      367             657       1   0.008  0.108    480     1.000          11.8       120.0       108.2      29.3      29.3
      368             447       1   0.078  0.367   2340     1.000           3.7        90.4        94.1      64.0      64.0
      369             424       1   0.066  0.149   1020     1.000           1.3        90.0        91.3      32.0      32.0
      370             501       1   0.075  0.353   1156     1.000           3.7        66.3        70.0      45.3      45.3
      371             418       1   0.059  0.059   1676     1.000           0.0        50.0        50.0      53.8      53.8
      372             502       1   0.074  0.411   4524     1.091           4.1        60.0        55.9     107.6      98.7
      373             462       0   0.000  0.004     36     1.542          33.3        53.3        20.0      32.0      49.4
      374             447       1   0.067  0.289   1820     1.189           2.6       100.0        97.4      53.8      64.0
      375             759       1   0.534  0.534    716     1.000           0.0        60.0        60.0      24.7      24.7
      376             462       0   0.000  0.008     72     1.297          30.0        50.0        20.0      64.0      49.4
      377             463       0   0.045  0.097   2740     1.414           0.5        29.5        30.0     107.6      76.1
      378             488       1   0.854  0.854   1120     1.000           0.0       120.0       120.0      45.3      45.3
      379             652       1   0.054  0.704   1968     1.000          12.1        22.0        34.1      20.7      20.7
      380             740       0   0.138  0.577    824     2.378           0.8        40.0        39.2      53.8      22.6
      381             561       1   0.095  0.298   1452     1.189           1.6        38.4        40.0      69.8      83.0
      382             517       1   0.472  0.472    868     1.000           0.0       110.0       110.0      49.4      49.4
      383             478       1   0.242  0.452    568     1.189           0.6         5.4         4.8      20.7      17.4
      384             426       1   0.031  0.242   2468     1.091           6.3       118.1       111.9      32.0      34.9
      385             479       1   0.077  0.221   1004     1.000           1.9        67.0        68.9      32.0      32.0
      386             600       0   0.007  0.384    528     1.091          50.5       130.0         0.5      38.1      41.5
      387             417       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      388             439       0   0.033  0.689    692     1.000          19.9        30.0        49.9      38.1      38.1
      389             658       0   0.013  0.237    656     1.414          11.8        60.0        48.2      49.4      34.9
      390             463       0   0.038  0.152   3808     1.542           1.6        29.1        30.7     117.4      76.1
      391             652       0   0.019  0.358    900     1.682          10.0        40.0        30.0      32.0      19.0
      392             437       1   0.255  0.255   2868     1.000           0.0        50.0        50.0      34.9      34.9
      393             480       0   0.021  0.061    764     2.828           0.0        90.0        90.0     117.4      41.5
      394             417       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      395             452       1   0.088  0.272    956     1.189           1.6        67.3        68.9      26.9      32.0
      396             505       1   0.510  0.556    948     1.091           0.0       120.0       120.0      69.8      64.0
      397             504       1   0.523  0.570    716     1.091           0.0        80.0        80.0      34.9      38.1
      398             487       1   0.165  0.444   1604     1.000           1.7        88.8        87.1      34.9      34.9
      399             532       1   0.565  0.658   1444     1.000           0.2       130.2       130.0      45.3      45.3
      400             592       1   0.489  0.708   1512     1.000           0.4        38.8        38.3      20.7      20.7
      401             482       1   0.115  0.416    968     1.091           2.3       120.5       118.2      38.1      34.9
      402             462       0   0.005  0.292   2168     1.297          40.3       158.0        18.3      64.0      49.4
      403             665       1   0.122  0.634    520     1.091           3.8        66.2        70.0      29.3      32.0
      404             459       1   0.069  0.082    576     1.189           0.0       160.0       160.0      38.1      32.0
      405             417       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      406             534       1   0.072  0.438   1936     1.000           5.1        64.5        59.4      19.0      19.0
