Red noise filter diagnostics

name                  = base
WHITE_NOISE_THRESHOLD = 0.02
WPS_NOISE_THRESHOLD   = 8.0

n_coeff_total        = 22680000
n_zero_after_white   = 4666859
n_zero_after_scaled  = 21635849
sMAD_WPS min         = 0.0
sMAD_WPS median      = 0.0022694510896529973
WPS_scaled min       = -0.9293115854111373
WPS_scaled median    = 0.0
WPS_scaled max       = 129.1593819989213
