Red noise filter diagnostics

name                = wnoisep01
WHITE_NOISE_THRESHOLD = 0.01
WPS_NOISE_THRESHOLD   = 8.0

n_coeff_total        = 22680000
n_zero_after_white   = 1951297
n_zero_after_scaled  = 21811618
sMAD_WPS min         = 0.0003374456234447972
sMAD_WPS median      = 0.0022510602974530006
WPS_scaled min       = -0.9227352513326917
WPS_scaled median    = 5.796310316404466e-17
WPS_scaled max       = 142.61769334643034
