shift_minutes,correlation
-2.000000000000000000e+02,1.610127650084546558e-01
-1.980000000000000000e+02,1.795439636955438178e-01
-1.960000000000000000e+02,1.987828642651134348e-01
-1.940000000000000000e+02,2.183593942894342388e-01
-1.920000000000000000e+02,2.378566156641030438e-01
-1.900000000000000000e+02,2.568908678646537047e-01
-1.880000000000000000e+02,2.750813551398638701e-01
-1.860000000000000000e+02,2.914867177179865654e-01
-1.840000000000000000e+02,3.058859888948763928e-01
-1.820000000000000000e+02,3.202571661724042396e-01
-1.800000000000000000e+02,3.375557972246682747e-01
-1.780000000000000000e+02,3.592573975063683700e-01
-1.760000000000000000e+02,3.846026302908475691e-01
-1.740000000000000000e+02,4.117077599788689923e-01
-1.720000000000000000e+02,4.386058446361001395e-01
-1.700000000000000000e+02,4.631098848572203219e-01
-1.680000000000000000e+02,4.823388208787518505e-01
-1.660000000000000000e+02,4.931275897048627010e-01
-1.640000000000000000e+02,4.932482021344092860e-01
-1.620000000000000000e+02,4.823634877520009412e-01
-1.600000000000000000e+02,4.618710744231460663e-01
-1.580000000000000000e+02,4.340564328640749148e-01
-1.560000000000000000e+02,4.013986875398597443e-01
-1.540000000000000000e+02,3.661426259071088873e-01
-1.520000000000000000e+02,3.299653321619113733e-01
-1.500000000000000000e+02,2.935965776892192625e-01
-1.480000000000000000e+02,2.566679864496845265e-01
-1.460000000000000000e+02,2.183529946190169713e-01
-1.440000000000000000e+02,1.783674019072790662e-01
-1.420000000000000000e+02,1.372720359105427668e-01
-1.400000000000000000e+02,9.598127783768663213e-02
-1.380000000000000000e+02,5.514508935079815571e-02
-1.360000000000000000e+02,1.482371130767003338e-02
-1.340000000000000000e+02,-2.536878566123705256e-02
-1.320000000000000000e+02,-6.579461560562921418e-02
-1.300000000000000000e+02,-1.065374498645395712e-01
-1.280000000000000000e+02,-1.475140651524520230e-01
-1.260000000000000000e+02,-1.886354815425776155e-01
-1.240000000000000000e+02,-2.298804173832779130e-01
-1.220000000000000000e+02,-2.713037427219351372e-01
-1.200000000000000000e+02,-3.129541351611002109e-01
-1.180000000000000000e+02,-3.547677727161619443e-01
-1.160000000000000000e+02,-3.965701410072466904e-01
-1.140000000000000000e+02,-4.380994526580288539e-01
-1.120000000000000000e+02,-4.788929718561779070e-01
-1.100000000000000000e+02,-5.181089276296513280e-01
-1.080000000000000000e+02,-5.544709562184938489e-01
-1.060000000000000000e+02,-5.864643843295327397e-01
-1.040000000000000000e+02,-6.128274579083521356e-01
-1.020000000000000000e+02,-6.329940119741853666e-01
-1.000000000000000000e+02,-6.469065764252801554e-01
-9.800000000000000000e+01,-6.543989933711454876e-01
-9.600000000000000000e+01,-6.550537123784827553e-01
-9.400000000000000000e+01,-6.487542928827585431e-01
-9.200000000000000000e+01,-6.360192189607866142e-01
-9.000000000000000000e+01,-6.176117328470657197e-01
-8.800000000000000000e+01,-5.943094825908944445e-01
-8.600000000000000000e+01,-5.672189255559239029e-01
-8.400000000000000000e+01,-5.377407357988491787e-01
-8.200000000000000000e+01,-5.071502631930946414e-01
