Threshold,True_Negatives,False_Positives,False_Negatives,True_Positives,Accuracy,Recall
0.0,0,3225,0,3335,0.5083841463414634,1.0
0.01,417,2808,0,3335,0.5719512195121951,1.0
0.02,492,2733,0,3335,0.5833841463414634,1.0
0.03,550,2675,0,3335,0.5922256097560976,1.0
0.04,611,2614,0,3335,0.6015243902439025,1.0
0.05,660,2565,0,3335,0.6089939024390244,1.0
0.06,707,2518,0,3335,0.6161585365853659,1.0
0.07,755,2470,0,3335,0.6234756097560976,1.0
0.08,798,2427,2,3333,0.6297256097560976,0.999400299850075
0.09,839,2386,4,3331,0.635670731707317,0.9988005997001499
0.1,876,2349,5,3330,0.6411585365853658,0.9985007496251874
0.11,926,2299,10,3325,0.6480182926829269,0.9970014992503748
0.12,976,2249,14,3321,0.655030487804878,0.9958020989505247
0.13,1030,2195,16,3319,0.6629573170731707,0.9952023988005997
0.14,1079,2146,18,3317,0.6701219512195122,0.9946026986506746
0.15,1132,2093,23,3312,0.677439024390244,0.993103448275862
0.16,1170,2055,27,3308,0.6826219512195122,0.991904047976012
0.17,1226,1999,35,3300,0.6899390243902439,0.9895052473763118
0.18,1279,1946,39,3296,0.6974085365853658,0.9883058470764617
0.19,1335,1890,46,3289,0.7048780487804878,0.9862068965517241
0.2,1386,1839,56,3279,0.7111280487804879,0.983208395802099
0.21,1431,1794,63,3272,0.7169207317073171,0.9811094452773613
0.22,1487,1738,69,3266,0.7245426829268292,0.9793103448275862
0.23,1548,1677,79,3256,0.7323170731707317,0.976311844077961
0.24,1603,1622,83,3252,0.7400914634146342,0.9751124437781109
0.25,1655,1570,93,3242,0.7464939024390244,0.9721139430284857
0.26,1716,1509,114,3221,0.7525914634146341,0.9658170914542729
0.27,1793,1432,135,3200,0.7611280487804878,0.95952023988006
0.28,1851,1374,146,3189,0.7682926829268293,0.9562218890554722
0.29,1909,1316,164,3171,0.774390243902439,0.950824587706147
0.3,1966,1259,186,3149,0.7797256097560976,0.9442278860569715
0.31,2025,1200,199,3136,0.7867378048780488,0.9403298350824588
0.32,2081,1144,221,3114,0.791920731707317,0.9337331334332833
0.33,2157,1068,251,3084,0.7989329268292683,0.9247376311844078
0.34,2208,1017,267,3068,0.8042682926829269,0.9199400299850075
0.35,2263,962,296,3039,0.8082317073170732,0.9112443778110945
0.36,2331,894,329,3006,0.8135670731707317,0.9013493253373314
0.37,2408,817,360,2975,0.8205792682926829,0.8920539730134932
0.38,2463,762,401,2934,0.8227134146341464,0.87976011994003
0.39,2512,713,436,2899,0.8248475609756097,0.8692653673163419
0.4,2559,666,461,2874,0.8282012195121952,0.8617691154422789
0.41,2619,606,500,2835,0.8314024390243903,0.8500749625187406
0.42,2659,566,528,2807,0.8332317073170732,0.8416791604197901
0.43,2697,528,557,2778,0.8346036585365854,0.8329835082458771
0.44,2731,494,598,2737,0.8335365853658536,0.8206896551724138
0.45,2765,460,632,2703,0.8335365853658536,0.8104947526236882
0.46,2782,443,663,2672,0.8314024390243903,0.80119940029985
0.47,2813,412,690,2645,0.8320121951219512,0.7931034482758621
0.48,2839,386,717,2618,0.831859756097561,0.785007496251874
0.49,2858,367,744,2591,0.8306402439024391,0.7769115442278861
0.5,2873,352,780,2555,0.8274390243902439,0.7661169415292354
0.51,2888,337,795,2540,0.8274390243902439,0.7616191904047976
0.52,2902,323,818,2517,0.8260670731707317,0.7547226386806597
0.53,2917,308,841,2494,0.8248475609756097,0.7478260869565218
0.54,2932,293,862,2473,0.8239329268292683,0.7415292353823089
0.55,2939,286,878,2457,0.822560975609756,0.7367316341829085
0.56,2951,274,897,2438,0.8214939024390244,0.7310344827586207
0.57,2972,253,936,2399,0.81875,0.7193403298350824
0.58,2987,238,956,2379,0.8179878048780488,0.7133433283358321
0.59,3006,219,984,2351,0.8166158536585366,0.7049475262368815
0.6,3016,209,1004,2331,0.8150914634146341,0.6989505247376312
0.61,3029,196,1030,2305,0.813109756097561,0.6911544227886057
0.62,3043,182,1052,2283,0.811890243902439,0.6845577211394303
0.63,3054,171,1074,2261,0.8102134146341463,0.6779610194902549
0.64,3065,160,1103,2232,0.807469512195122,0.6692653673163418
0.65,3074,151,1125,2210,0.8054878048780488,0.6626686656671664
0.66,3079,146,1159,2176,0.8010670731707317,0.6524737631184407
0.67,3092,133,1186,2149,0.7989329268292683,0.6443778110944528
0.68,3104,121,1226,2109,0.7946646341463415,0.6323838080959521
0.69,3113,112,1255,2080,0.7916158536585366,0.623688155922039
0.7,3117,108,1277,2058,0.7888719512195121,0.6170914542728636
0.71,3122,103,1315,2020,0.7838414634146341,0.6056971514242878
0.72,3134,91,1332,2003,0.7830792682926829,0.600599700149925
0.73,3137,88,1362,1973,0.7789634146341463,0.5916041979010495
0.74,3144,81,1397,1938,0.7746951219512195,0.5811094452773613
0.75,3147,78,1433,1902,0.7696646341463415,0.5703148425787107
0.76,3152,73,1473,1862,0.7643292682926829,0.55832083958021
0.77,3158,67,1519,1816,0.7582317073170731,0.5445277361319341
0.78,3165,60,1546,1789,0.7551829268292682,0.536431784107946
0.79,3173,52,1577,1758,0.7516768292682927,0.527136431784108
0.8,3176,49,1609,1726,0.7472560975609757,0.5175412293853073
0.81,3181,44,1647,1688,0.7422256097560975,0.5061469265367317
0.82,3187,38,1675,1660,0.7388719512195122,0.49775112443778113
0.83,3189,36,1718,1617,0.7326219512195122,0.4848575712143928
0.84,3195,30,1755,1580,0.7278963414634146,0.4737631184407796
0.85,3199,26,1794,1541,0.7225609756097561,0.46206896551724136
0.86,3203,22,1838,1497,0.7164634146341463,0.4488755622188906
0.87,3204,21,1885,1450,0.7094512195121951,0.43478260869565216
0.88,3206,19,1924,1411,0.7038109756097561,0.42308845577211396
0.89,3207,18,1963,1372,0.6980182926829268,0.4113943028485757
0.9,3209,16,1998,1337,0.6929878048780488,0.40089955022488755
0.91,3210,15,2045,1290,0.6859756097560976,0.3868065967016492
0.92,3211,14,2094,1241,0.6786585365853659,0.37211394302848577
0.93,3214,11,2143,1192,0.6716463414634146,0.35742128935532236
0.94,3215,10,2182,1153,0.6658536585365854,0.3457271364317841
0.95,3216,9,2230,1105,0.6586890243902439,0.3313343328335832
0.96,3217,8,2290,1045,0.6496951219512195,0.31334332833583206
0.97,3220,5,2357,978,0.6399390243902439,0.29325337331334334
0.98,3223,2,2452,883,0.6259146341463414,0.26476761619190403
0.99,3223,2,2576,759,0.6070121951219513,0.22758620689655173
1.0,3225,0,3134,201,0.5222560975609756,0.06026986506746627
