Threshold,True_Negatives,False_Positives,False_Negatives,True_Positives,Accuracy,Recall
0.0,0,3312,0,3312,0.5,1.0
0.01,284,3028,0,3312,0.5428743961352657,1.0
0.02,345,2967,1,3311,0.5519323671497585,0.9996980676328503
0.03,392,2920,2,3310,0.5588768115942029,0.9993961352657005
0.04,455,2857,3,3309,0.5682367149758454,0.9990942028985508
0.05,496,2816,3,3309,0.5744263285024155,0.9990942028985508
0.06,535,2777,3,3309,0.5803140096618358,0.9990942028985508
0.07,576,2736,3,3309,0.5865036231884058,0.9990942028985508
0.08,618,2694,6,3306,0.592391304347826,0.9981884057971014
0.09,651,2661,8,3304,0.5970712560386473,0.9975845410628019
0.1,695,2617,12,3300,0.6031099033816425,0.9963768115942029
0.11,728,2584,14,3298,0.6077898550724637,0.9957729468599034
0.12,774,2538,16,3296,0.6144323671497585,0.9951690821256038
0.13,811,2501,20,3292,0.6194142512077294,0.9939613526570048
0.14,845,2467,22,3290,0.6242451690821256,0.9933574879227053
0.15,893,2419,30,3282,0.6302838164251208,0.9909420289855072
0.16,943,2369,34,3278,0.6372282608695652,0.9897342995169082
0.17,999,2313,39,3273,0.644927536231884,0.9882246376811594
0.18,1052,2260,45,3267,0.6520229468599034,0.9864130434782609
0.19,1094,2218,48,3264,0.6579106280193237,0.9855072463768116
0.2,1152,2160,55,3257,0.6656099033816425,0.9833937198067633
0.21,1210,2102,61,3251,0.6734601449275363,0.9815821256038647
0.22,1266,2046,67,3245,0.6810084541062802,0.9797705314009661
0.23,1340,1972,73,3239,0.691274154589372,0.9779589371980676
0.24,1396,1916,83,3229,0.6982185990338164,0.9749396135265701
0.25,1467,1845,93,3219,0.707427536231884,0.9719202898550725
0.26,1528,1784,106,3206,0.7146739130434783,0.9679951690821256
0.27,1585,1727,116,3196,0.7217693236714976,0.964975845410628
0.28,1651,1661,130,3182,0.7296195652173914,0.9607487922705314
0.29,1711,1601,146,3166,0.736262077294686,0.9559178743961353
0.3,1783,1529,169,3143,0.7436594202898551,0.9489734299516909
0.31,1848,1464,192,3120,0.75,0.9420289855072463
0.32,1936,1376,222,3090,0.758756038647343,0.9329710144927537
0.33,2004,1308,255,3057,0.7640398550724637,0.9230072463768116
0.34,2078,1234,285,3027,0.7706823671497585,0.9139492753623188
0.35,2165,1147,315,2997,0.7792874396135265,0.904891304347826
0.36,2234,1078,338,2974,0.7862318840579711,0.8979468599033816
