Threshold,True_Negatives,False_Positives,False_Negatives,True_Positives,Accuracy,Recall
0.0,0,3334,0,3226,0.4917682926829268,1.0
0.01,741,2593,0,3226,0.6047256097560976,1.0
0.02,854,2480,3,3223,0.6214939024390244,0.9990700557966522
0.03,927,2407,6,3220,0.6321646341463415,0.9981401115933044
0.04,1001,2333,8,3218,0.6431402439024391,0.9975201487910725
0.05,1071,2263,13,3213,0.6530487804878049,0.9959702417854929
0.06,1130,2204,14,3212,0.661890243902439,0.9956602603843769
0.07,1184,2150,15,3211,0.6699695121951219,0.995350278983261
0.08,1241,2093,20,3206,0.6778963414634146,0.9938003719776813
0.09,1290,2044,25,3201,0.6846036585365853,0.9922504649721017
0.1,1342,1992,27,3199,0.6922256097560976,0.9916305021698698
0.11,1382,1952,28,3198,0.698170731707317,0.9913205207687539
0.12,1427,1907,34,3192,0.7041158536585366,0.9894606323620583
0.13,1476,1858,39,3187,0.7108231707317073,0.9879107253564786
0.14,1521,1813,43,3183,0.7170731707317073,0.9866707997520149
0.15,1567,1767,47,3179,0.7234756097560976,0.9854308741475512
0.16,1614,1720,49,3177,0.7303353658536585,0.9848109113453193
0.17,1665,1669,52,3174,0.7376524390243903,0.9838809671419715
0.18,1710,1624,59,3167,0.7434451219512195,0.98171109733416
0.19,1759,1575,64,3162,0.7501524390243902,0.9801611903285803
0.2,1809,1525,72,3154,0.7565548780487805,0.9776813391196528
0.21,1856,1478,79,3147,0.7626524390243903,0.9755114693118413
0.22,1908,1426,84,3142,0.7698170731707317,0.9739615623062616
0.23,1961,1373,90,3136,0.7769817073170732,0.972101673899566
0.24,2022,1312,104,3122,0.7841463414634147,0.967761934283943
0.25,2077,1257,115,3111,0.7908536585365854,0.9643521388716677
0.26,2113,1221,123,3103,0.7951219512195122,0.9618722876627402
0.27,2177,1157,134,3092,0.8032012195121951,0.958462492250465
0.28,2226,1108,154,3072,0.8076219512195122,0.9522628642281463
0.29,2280,1054,168,3058,0.813719512195122,0.9479231246125233
0.3,2337,997,184,3042,0.8199695121951219,0.9429634221946683
0.31,2390,944,198,3028,0.8259146341463415,0.9386236825790453
0.32,2460,874,226,3000,0.8323170731707317,0.9299442033477991
0.33,2509,825,253,2973,0.8356707317073171,0.921574705517669
0.34,2565,769,277,2949,0.8405487804878049,0.9141351518908866
0.35,2619,715,303,2923,0.8448170731707317,0.9060756354618723
0.36,2658,676,333,2893,0.8461890243902439,0.8967761934283943
0.37,2704,630,352,2874,0.8503048780487805,0.8908865468071916
0.38,2745,589,376,2850,0.8528963414634146,0.8834469931804092
0.39,2772,562,399,2827,0.8535060975609756,0.8763174209547427
0.4,2800,534,421,2805,0.854420731707317,0.8694978301301922
0.41,2829,505,452,2774,0.8541158536585366,0.8598884066955983
0.42,2865,469,484,2742,0.8547256097560976,0.8499690018598884
0.43,2888,446,503,2723,0.8553353658536585,0.8440793552386857
0.44,2905,429,525,2701,0.8545731707317074,0.8372597644141352
0.45,2914,420,549,2677,0.8522865853658537,0.8298202107873528
