Cluster power ranking (clustered only)

name = amp1p2(base)
MIN_AMP = 1.2
THR = 0.25
WHITE_NOISE_THRESHOLD = 0.15
WPS_NOISE_THRESHOLD = 8.0

rank  kcl      P_abs           P_pct
   1    0   5.153708e+05    58.16%
   2    3   1.302403e+05    14.70%
   3    2   1.157567e+05    13.06%
   4    6   3.255185e+04     3.67%
   5    8   3.224386e+04     3.64%
   6    1   2.926273e+04     3.30%
   7    7   9.371361e+03     1.06%
   8   11   6.143400e+03     0.69%
   9    9   5.154201e+03     0.58%
  10    4   2.848692e+03     0.32%
  11    5   1.841970e+03     0.21%
  12   12   1.772589e+03     0.20%
  13   13   1.358193e+03     0.15%
  14   10   1.242389e+03     0.14%
  15   14   1.025706e+03     0.12%
