cluster_a  cluster_c  passes  score    iou    inter  lam_ratio  ang_diff_deg  thetaA_deg  thetaC_deg  lamA_med  lamC_med
      141        518       1   0.038  0.183   1624     1.000           3.8        93.5        89.7      20.7      20.7
      141        525       0   0.006  0.023    200     2.181           0.8        90.8        90.0      34.9      16.0
      141        520       0   0.001  0.388   5012     3.364          88.2        90.6         2.4      34.9     117.4
      141        524       0   0.001  0.130   1164     2.828          70.0        90.0        20.0      34.9      98.7
      141        523       0   0.000  0.022    232     3.668          75.6        94.4       170.0      32.0     117.4
      141        519       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      141        521       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      141        522       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      142        524       0   0.002  0.352    972     2.828          62.9        82.9        20.0      34.9      98.7
      142        520       0   0.001  0.182   1780     3.084          75.5        82.3         6.8      34.9     107.6
      142        525       0   0.000  0.003      8     2.000          10.0        80.0        90.0      32.0      16.0
      142        518       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      142        519       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      142        521       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      142        522       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      142        523       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      143        518       0   0.006  0.446    724     1.189          64.6        25.4        90.0      16.0      19.0
      143        520       0   0.000  0.012    112     7.336          16.4        16.4         0.0      16.0     117.4
      143        519       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      143        521       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      143        522       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      143        523       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      143        524       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      143        525       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      144        520       0   0.000  0.124   1192     6.727          87.7        87.7         0.0      17.4     117.4
      144        523       0   0.000  0.071    256     6.727          81.7        88.3       170.0      17.4     117.4
      144        518       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      144        519       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      144        521       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      144        522       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      144        524       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      144        525       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      145        518       0   0.005  0.200    324     1.189          30.9       120.0        89.1      16.0      19.0
      145        520       0   0.000  0.019    172     7.336          60.0       120.0         0.0      16.0     117.4
      145        519       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      145        521       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      145        522       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      145        523       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      145        524       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      145        525       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      146        525       0   0.005  0.281    200     1.000          51.9        38.1        90.0      16.0      16.0
      146        518       0   0.002  0.168    336     1.548          54.3        32.3        86.6      17.4      27.0
      146        520       0   0.000  0.079    712     7.336          28.4        28.4         0.0      16.0     117.4
      146        524       0   0.000  0.015     28     5.657          17.2         2.8        20.0      17.4      98.7
      146        519       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      146        521       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      146        522       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      146        523       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      147        520       0   0.000  0.004     40     7.336          84.0        96.0         0.0      16.0     117.4
      147        518       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      147        519       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      147        521       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      147        522       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      147        523       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      147        524       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      147        525       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      148        518       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      148        519       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      148        520       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      148        521       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      148        522       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      148        523       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      148        524       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      148        525       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      149        524       0   0.001  0.224    608     2.594          70.0        90.0        20.0      41.5     107.6
      149        520       0   0.001  0.110   1100     2.594          80.0        90.0        10.0      41.5     107.6
      149        518       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      149        519       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      149        521       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      149        522       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      149        523       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      149        525       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      150        524       0   0.001  0.248    596     2.828          80.0       100.0        20.0      38.1     107.6
      150        520       0   0.000  0.111   1076     2.828          90.0       100.0        10.0      38.1     107.6
      150        518       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      150        519       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      150        521       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      150        522       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      150        523       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      150        525       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      151        522       0   0.004  0.016    780     4.362           0.0        90.0        90.0     107.6      24.7
      151        521       0   0.000  0.019    948     1.000          80.0       100.0         0.0      90.5      90.5
      151        518       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      151        519       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      151        520       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      151        523       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      151        524       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      151        525       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      152        519       0   0.009  0.491   5764     2.000          25.2       115.2        90.0      49.4      98.7
      152        520       0   0.000  0.012    176     1.189          77.3       112.7        10.0      83.0      98.7
      152        518       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      152        521       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      152        522       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      152        523       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      152        524       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      152        525       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      153        520       0   0.000  0.126   1224     4.173          84.4        95.6         0.0      28.1     117.4
      153        523       0   0.000  0.056    212     4.000          72.1        97.9       170.0      29.3     117.4
      153        518       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      153        519       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      153        521       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      153        522       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      153        524       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      153        525       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      154        518       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      154        519       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      154        520       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      154        521       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      154        522       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      154        523       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      154        524       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      154        525       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      155        518       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      155        519       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      155        520       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      155        521       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
