saber_lat,saber_lon,saber_alt,saber_temp,saber_time,saber_local_time_pm12,saber_file,saber_i,saber_j,awe_lat,awe_lon,awe_time_nearest,awe_local_time_nearest_pm12,awe_file_nearest,awe_x_nearest,awe_temp_nearest,awe_MLCloud_nearest,distance_km_nearest,awe_temp_avg,awe_temp_std,awe_count_used,awe_temp_avg_unfiltered,awe_temp_std_unfiltered,awe_count_unfiltered,peak_altitude_km,saber_profile_mean_local_time_h,m4_T_K_shift_m0p75,m4_T_std_K_shift_m0p75,m4_z_eff_km_shift_m0p75,delta_temp_m4_unfiltered_K_shift_m0p75,year,awe_ratio_used_over_unfiltered,awe_orbit
40.43502045,8.319499016,87.15419769,209.3725128,2024-01-12T19:17:10.817000,-4.159,SABER_L2A_2024012_119867_02.08.nc,37,191,41.03759766,7.735482216,2024-01-12T19:26:33.411793,-4.042,awe_l3a_tmp_2024012T1924_00803_v01.nc,65,192.0599976,14,84.26545234,194.8495091,3.580774798,3198,194.8495091,3.580774798,3198,87.52,19.84,195.26,10.38,86.87,0.410490947,2024,1,803
40.43270874,8.329984665,86.78518677,207.1986847,2024-01-12T19:17:10.863000,-4.158,SABER_L2A_2024012_119867_02.08.nc,37,192,41.03759766,7.735482216,2024-01-12T19:26:33.411793,-4.042,awe_l3a_tmp_2024012T1924_00803_v01.nc,65,192.0599976,14,85.00794288,194.8495091,3.580774798,3198,194.8495091,3.580774798,3198,87.52,19.84,195.26,10.38,86.87,0.410490947,2024,1,803
43.43483353,-15.92944336,87.35662842,199.9287415,2024-01-12T20:52:57.397000,-4.179,SABER_L2A_2024012_119868_02.08.nc,35,191,41.75508499,-14.43180084,2024-01-12T20:59:56.138506,-3.963,awe_l3a_tmp_2024012T2058_00804_v01.nc,71,206.5099945,23,226.4590903,204.5589818,3.417134214,2868,204.5589818,3.417134214,2868,86.24,19.82,195.42,18.57,86.24,-9.138981796,2024,1,804
43.43245697,-15.91848755,86.98727417,199.7804718,2024-01-12T20:52:57.442000,-4.179,SABER_L2A_2024012_119868_02.08.nc,35,192,41.75508499,-14.43180084,2024-01-12T20:59:56.138506,-3.963,awe_l3a_tmp_2024012T2058_00804_v01.nc,71,206.5099945,23,225.7386012,204.5549564,3.416438642,2873,204.5549564,3.416438642,2873,86.24,19.82,195.42,18.57,86.24,-9.134956422,2024,1,804
43.43004608,-15.90756226,86.61779785,199.6068268,2024-01-12T20:52:57.488000,-4.178,SABER_L2A_2024012_119868_02.08.nc,35,193,41.75508499,-14.43180084,2024-01-12T20:59:56.138506,-3.963,awe_l3a_tmp_2024012T2058_00804_v01.nc,71,206.5099945,23,225.017906,204.5482581,3.417874107,2882,204.5482581,3.417874107,2882,86.24,19.82,195.42,18.57,86.24,-9.128258081,2024,1,804
43.78393555,-40.26522827,87.14285278,189.9353943,2024-01-12T22:29:30.040000,-4.193,SABER_L2A_2024012_119869_02.08.nc,35,192,41.73697281,-38.42778397,2024-01-12T22:32:42.962322,-4.017,awe_l3a_tmp_2024012T2231_00805_v01.nc,55,188.8600006,21,276.3024551,189.6364666,2.363333881,1916,189.6364666,2.363333881,1916,86.38,19.81,190.2,9.36,86.66,0.56353337,2024,1,805
43.78150558,-40.25424194,86.77323914,187.8084106,2024-01-12T22:29:30.086000,-4.192,SABER_L2A_2024012_119869_02.08.nc,35,193,41.73697281,-38.42778397,2024-01-12T22:32:42.962322,-4.017,awe_l3a_tmp_2024012T2231_00805_v01.nc,55,188.8600006,21,275.57598,189.6385551,2.359532478,1924,189.6385551,2.359532478,1924,86.38,19.81,190.2,9.36,86.66,0.561444866,2024,1,805
38.77827835,-40.44366455,87.22354126,205.4710236,2024-01-12T22:30:57.107000,-4.18,SABER_L2A_2024012_119869_02.08.nc,36,191,41.29125595,-39.31256485,2024-01-12T22:32:31.430845,-4.079,awe_l3a_tmp_2024012T2231_00805_v01.nc,46,186.9400024,19,299.5861334,188.912709,2.094276798,1399,188.912709,2.094276798,1399,87.03,19.82,195.65,9.79,87.26,6.737291039,2024,1,805
38.78141022,-40.43338013,86.85620117,202.7480164,2024-01-12T22:30:57.060000,-4.18,SABER_L2A_2024012_119869_02.08.nc,36,192,41.29125595,-39.31256485,2024-01-12T22:32:31.430845,-4.079,awe_l3a_tmp_2024012T2231_00805_v01.nc,46,186.9400024,19,298.9635283,188.914362,2.092334597,1403,188.914362,2.092334597,1403,87.03,19.82,195.65,9.79,87.26,6.735638034,2024,1,805
42.02971268,-113.4434357,87.25039673,203.8161316,2024-01-13T03:19:56.869000,-4.23,SABER_L2A_2024013_119872_02.08.nc,36,191,41.1983757,-110.2811432,2024-01-13T03:11:12.245623,-4.165,awe_l3a_tmp_2024013T0309_00808_v01.nc,49,195.8200073,21,282.4544551,198.879901,2.477471367,1008,198.879901,2.477471367,1008,87.24,19.77,199.54,11.04,86.39,0.660098992,2024,1,808
