shift_minutes,correlation
-1.500000000000000000e+02,nan
-1.480000000000000000e+02,nan
-1.460000000000000000e+02,nan
-1.440000000000000000e+02,nan
-1.420000000000000000e+02,8.007029781127747992e-01
-1.400000000000000000e+02,8.325720565911697291e-01
-1.380000000000000000e+02,8.624194335764406860e-01
-1.360000000000000000e+02,8.901818681550309753e-01
-1.340000000000000000e+02,9.149768234794454225e-01
-1.320000000000000000e+02,9.354051671913797827e-01
-1.300000000000000000e+02,9.505515667701701643e-01
-1.280000000000000000e+02,9.605562172282394728e-01
-1.260000000000000000e+02,9.661997717043295797e-01
-1.240000000000000000e+02,9.682330641021158479e-01
-1.220000000000000000e+02,9.667981679901724856e-01
-1.200000000000000000e+02,9.611608886806713992e-01
-1.180000000000000000e+02,9.499798728623471966e-01
-1.160000000000000000e+02,9.322325072723844919e-01
-1.140000000000000000e+02,9.077504078024009049e-01
-1.120000000000000000e+02,8.765752349068876015e-01
-1.100000000000000000e+02,8.384163084082566497e-01
-1.080000000000000000e+02,7.933386215064046620e-01
-1.060000000000000000e+02,7.425026327467967313e-01
-1.040000000000000000e+02,6.876892267645425827e-01
-1.020000000000000000e+02,6.304610597282183093e-01
-1.000000000000000000e+02,5.717703650775319835e-01
-9.800000000000000000e+01,5.115419973990152913e-01
-9.600000000000000000e+01,4.488584948742191383e-01
-9.400000000000000000e+01,3.837068944716492402e-01
-9.200000000000000000e+01,3.188278271809862896e-01
-9.000000000000000000e+01,2.586113321826860045e-01
-8.800000000000000000e+01,2.049108242322591200e-01
-8.600000000000000000e+01,1.553077326497218913e-01
-8.400000000000000000e+01,1.076573864946517578e-01
-8.200000000000000000e+01,6.500382779159462332e-02
-8.000000000000000000e+01,3.288953216279118935e-02
-7.800000000000000000e+01,1.300153767150087451e-02
-7.600000000000000000e+01,2.752099426190617558e-03
-7.400000000000000000e+01,3.595452286525701994e-04
-7.200000000000000000e+01,6.965376314476250282e-03
-7.000000000000000000e+01,2.422212988815024629e-02
-6.800000000000000000e+01,5.238449620708729437e-02
-6.600000000000000000e+01,9.082286269972773829e-02
-6.400000000000000000e+01,1.388652051828636880e-01
-6.200000000000000000e+01,1.949357898948983481e-01
-6.000000000000000000e+01,2.561114324695521471e-01
-5.800000000000000000e+01,3.196305224715569326e-01
-5.600000000000000000e+01,3.837445530263721705e-01
-5.400000000000000000e+01,4.470065493937966372e-01
-5.200000000000000000e+01,5.075202871120859660e-01
-5.000000000000000000e+01,5.633425028682143010e-01
-4.800000000000000000e+01,6.136043568004411197e-01
-4.600000000000000000e+01,6.586034324350545921e-01
-4.400000000000000000e+01,6.990332953286395590e-01
-4.200000000000000000e+01,7.355088933860165490e-01
-4.000000000000000000e+01,7.684785337160358054e-01
-3.800000000000000000e+01,7.982546486507210437e-01
-3.600000000000000000e+01,8.250723964407843392e-01
-3.400000000000000000e+01,8.491396207553364439e-01
-3.200000000000000000e+01,8.706367237860349606e-01
-3.000000000000000000e+01,8.897090705903044627e-01
-2.800000000000000000e+01,9.064775278888352883e-01
-2.600000000000000000e+01,9.210750482525645877e-01
-2.400000000000000000e+01,9.337235404012093065e-01
-2.200000000000000000e+01,9.447474580314666470e-01
-2.000000000000000000e+01,9.544638299888671407e-01
-1.800000000000000000e+01,9.630774117950634539e-01
-1.600000000000000000e+01,9.706856529603982153e-01
-1.400000000000000000e+01,9.773310961921453099e-01
-1.200000000000000000e+01,9.830491670091042744e-01
-1.000000000000000000e+01,9.879185788359422515e-01
-8.000000000000000000e+00,9.920334354192016368e-01
-6.000000000000000000e+00,9.954006675599968990e-01
-4.000000000000000000e+00,9.979209387993868141e-01
-2.000000000000000000e+00,9.994760718849774461e-01
0.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,9.994760718849774461e-01
4.000000000000000000e+00,9.979209387993868141e-01
6.000000000000000000e+00,9.954006675599968990e-01
8.000000000000000000e+00,9.920334354192016368e-01
1.000000000000000000e+01,9.879185788359422515e-01
1.200000000000000000e+01,9.830491670091042744e-01
1.400000000000000000e+01,9.773310961921453099e-01
1.600000000000000000e+01,9.706856529603982153e-01
1.800000000000000000e+01,9.630774117950634539e-01
2.000000000000000000e+01,9.544638299888671407e-01
2.200000000000000000e+01,9.447474580314666470e-01
2.400000000000000000e+01,9.337235404012093065e-01
2.600000000000000000e+01,9.210750482525645877e-01
2.800000000000000000e+01,9.064775278888352883e-01
3.000000000000000000e+01,8.897090705903044627e-01
3.200000000000000000e+01,8.706367237860349606e-01
3.400000000000000000e+01,8.491396207553364439e-01
3.600000000000000000e+01,8.250723964407843392e-01
3.800000000000000000e+01,7.982546486507210437e-01
4.000000000000000000e+01,7.684785337160358054e-01
4.200000000000000000e+01,7.355088933860165490e-01
4.400000000000000000e+01,6.990332953286395590e-01
4.600000000000000000e+01,6.586034324350545921e-01
4.800000000000000000e+01,6.136043568004411197e-01
5.000000000000000000e+01,5.633425028682143010e-01
5.200000000000000000e+01,5.075202871120859660e-01
5.400000000000000000e+01,4.470065493937966372e-01
5.600000000000000000e+01,3.837445530263721705e-01
5.800000000000000000e+01,3.196305224715569326e-01
6.000000000000000000e+01,2.561114324695521471e-01
6.200000000000000000e+01,1.949357898948983481e-01
6.400000000000000000e+01,1.388652051828636880e-01
6.600000000000000000e+01,9.082286269972773829e-02
6.800000000000000000e+01,5.238449620708729437e-02
7.000000000000000000e+01,2.422212988815024629e-02
7.200000000000000000e+01,6.965376314476250282e-03
7.400000000000000000e+01,3.595452286525701994e-04
7.600000000000000000e+01,2.752099426190617558e-03
7.800000000000000000e+01,1.300153767150087451e-02
