Cluster power ranking (clustered only)

name = wnoisep1
MIN_AMP = 1.2
THR = 0.25
WHITE_NOISE_THRESHOLD = 0.1
WPS_NOISE_THRESHOLD = 8.0

rank  kcl      P_abs           P_pct
   1    0   4.608582e+05    67.31%
   2    2   1.113600e+05    16.26%
   3    9   2.689191e+04     3.93%
   4    1   2.271689e+04     3.32%
   5    3   1.626613e+04     2.38%
   6    6   1.183719e+04     1.73%
   7    5   1.097115e+04     1.60%
   8    4   7.568870e+03     1.11%
   9    7   5.408029e+03     0.79%
  10   14   2.571645e+03     0.38%
  11   15   2.216730e+03     0.32%
  12   10   1.871449e+03     0.27%
  13   12   1.234746e+03     0.18%
  14   11   1.013370e+03     0.15%
  15   13   9.977348e+02     0.15%
  16    8   9.301139e+02     0.14%
