L6A: l6/awe_l6a_tmp_2024165T1814_03173_v01.nc
L6C: l6/awe_l6c_q20_2024165T1814_03173_v01.nc

slice  nA  nC  nBestSaved  nPassed  note
    0   2  69           2        1  ok
    1  13  36          13        5  ok
    2   7  36           7        3  ok
    3  80  75          80       10  ok
    4  26  64          26        3  ok
    5  32  31          32        0  ok
    6  61   0           0        0  no L6C clusters
    7  22   0           0        0  no L6C clusters
    8  10   0           0        0  no L6C clusters
