Red noise filter diagnostics

name                = wnoisep01
WHITE_NOISE_THRESHOLD = 0.01
WPS_NOISE_THRESHOLD   = 8.0

n_coeff_total        = 22680000
n_zero_after_white   = 3609989
n_zero_after_scaled  = 21748149
sMAD_WPS min         = 0.00017125264676609635
sMAD_WPS median      = 0.0013102945481290452
WPS_scaled min       = -0.8501146740766251
WPS_scaled median    = 5.5451683562660165e-17
WPS_scaled max       = 120.98328826533661
