cluster_a  best_cluster_c  passes  score    iou    inter  lam_ratio  ang_diff_deg  thetaA_deg  thetaC_deg  lamA_med  lamC_med
        0               0       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
        1               0       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
        2               0       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
        3             104       1   0.125  0.536   4084     1.091           2.9        10.5         7.6      32.0      34.9
        4              89       0   0.000  0.068   1412     4.000          82.1        87.9       170.0      17.4      69.8
        5               0       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
        6              89       1   0.494  0.494  12228     1.000           0.0       170.0       170.0      76.1      76.1
        7               0       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
        8               0       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
        9               0       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       10               0       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       11              89       0   0.000  0.060   1696     2.378          90.0        80.0       170.0      32.0      76.1
       12              64       1   0.547  0.547  11512     1.000           0.0         0.0         0.0      76.1      76.1
       13              19       1   0.430  0.512   1140     1.189           0.0         0.0         0.0      24.7      20.7
       14               0       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       15               0       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       16               0       1   0.065  0.117   7736     1.091           0.7       164.4       163.7      34.9      32.0
       17              60       1   0.178  0.681   2088     1.091           2.5       169.8       167.3      29.3      26.9
       18               0       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       19              68       1   0.113  0.516  12320     1.091           3.2       127.4       124.2     107.6      98.7
       20               0       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       21             104       1   0.249  0.599   4924     1.000           1.4         3.5         4.9      32.0      32.0
       22               0       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
       23              62       0   0.001  0.105    644     1.189          88.7        98.7        10.0      17.4      20.7
       24               0       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
