Cluster power ranking (clustered only)

name = amp1p2(base)
MIN_AMP = 1.2
THR = 0.25
WHITE_NOISE_THRESHOLD = 0.15
WPS_NOISE_THRESHOLD = 8.0

rank  kcl      P_abs           P_pct
   1    0   6.464853e+04    20.16%
   2   12   3.253571e+04    10.14%
   3    8   2.400063e+04     7.48%
   4    7   2.379769e+04     7.42%
   5    4   2.330779e+04     7.27%
   6    2   1.848495e+04     5.76%
   7   11   1.835752e+04     5.72%
   8   18   1.571294e+04     4.90%
   9    5   1.455302e+04     4.54%
  10    1   1.403345e+04     4.38%
  11   19   1.132872e+04     3.53%
  12   10   9.933553e+03     3.10%
  13   15   9.639715e+03     3.01%
  14    6   8.251571e+03     2.57%
  15   17   7.550670e+03     2.35%
  16   13   5.914275e+03     1.84%
  17    3   5.264572e+03     1.64%
  18   20   5.125824e+03     1.60%
  19   14   4.398726e+03     1.37%
  20   16   2.067570e+03     0.64%
  21    9   1.817771e+03     0.57%
