L6A: l6/awe_l6a_tmp_2024166T0158_03178_v01.nc
L6C: l6/awe_l6c_q20_2024166T0158_03178_v01.nc

slice  nA  nC  nBestSaved  nPassed  note
    0   6  29           6        1  ok
    1  295  645         295      198  ok
    2  52  244          52       40  ok
    3  10  89          10        8  ok
    4  23   7          23        1  ok
    5  13  53          13        0  ok
    6  121  13         121        6  ok
    7   8   1           8        0  ok
