Cluster power ranking (clustered only)

name = amp1p2(base)
MIN_AMP = 1.2
THR = 0.25
WHITE_NOISE_THRESHOLD = 0.15
WPS_NOISE_THRESHOLD = 8.0

rank  kcl      P_abs           P_pct
   1    0   4.461553e+04    36.48%
   2    6   2.885479e+04    23.59%
   3    2   2.770130e+04    22.65%
   4    7   5.974166e+03     4.88%
   5    1   3.785931e+03     3.10%
   6   11   2.545984e+03     2.08%
   7    8   2.303937e+03     1.88%
   8    3   1.977789e+03     1.62%
   9    5   1.538143e+03     1.26%
  10    4   1.473021e+03     1.20%
  11   12   5.936586e+02     0.49%
  12   10   4.829976e+02     0.39%
  13    9   4.682626e+02     0.38%
