Cluster power ranking (clustered only)
rank  kcl      P_abs           P_pct
   1    2   4.017581e+03    31.85%
   2    0   1.681547e+03    13.33%
   3    4   1.576532e+03    12.50%
   4    6   1.031633e+03     8.18%
   5    5   9.236087e+02     7.32%
   6   12   8.418881e+02     6.67%
   7    8   7.750867e+02     6.14%
   8    1   2.809754e+02     2.23%
   9   17   2.345519e+02     1.86%
  10   11   2.248544e+02     1.78%
  11    7   2.211831e+02     1.75%
  12   15   2.206182e+02     1.75%
  13    9   1.362363e+02     1.08%
  14    3   1.095614e+02     0.87%
  15   13   1.060586e+02     0.84%
  16   16   8.919959e+01     0.71%
  17   14   4.056601e+01     0.32%
  18   10   3.915725e+01     0.31%
  19   19   3.534594e+01     0.28%
  20   18   2.871903e+01     0.23%
