file,pt1,pt2,pt3,pt4,pt5,pt6,pt7,pt8,pt9,pt10
awe_100km_box_frame_0040,1.0,0.2786513686269416,-0.7821197715841997,-0.8447682857006121,0.15210576906439144,0.2051980507238247,-0.8735331127405319,-0.6122081414483105,0.4167322189328877,0.9301390081118948
awe_100km_box_frame_0041,0.9892236928442772,0.12338475490426348,-0.8249119110474997,-0.7367380145337328,0.33040296545210923,0.19143716876108563,-0.7720906863647669,-0.8445121541625903,0.18244873930050076,0.9998820065562841
awe_100km_box_frame_0042,0.9663639707003222,0.11960302541539547,-0.7777740219856588,-0.895035364097966,-0.07992564076071373,0.11531631635237383,-0.9248703124778371,-0.6932363266820277,0.2487423467080132,0.9824784510238098
awe_100km_box_frame_0043,0.951682937975082,-0.03730499743521942,-0.7885645390527294,-0.9226969929745725,0.0822018510265119,0.07116624780616543,-0.8594527637463877,-0.5897753517574865,0.39708986544672964,0.9568053163421142
awe_100km_box_frame_0044,0.9865545673001612,0.12469933989062665,-0.8011022051993774,-0.8505937586319121,0.18191331249549747,0.04013926072437268,-0.9395912253807516,-0.625676371611094,0.35205267692777253,0.9989940738087275
awe_100km_box_frame_0045,0.9822530639620604,0.0009059110383986546,-0.8029787333331428,-0.8240519197408943,0.19125807922868288,0.11307896217145763,-0.9341784378638204,-0.6004647084836476,0.40239046959732816,0.9977398118686032
awe_100km_box_frame_0046,0.987606911931139,0.009319872231945192,-0.8149874064399683,-0.8212944226313259,0.29157815908131224,0.10527457669593954,-0.8940098565081057,-0.588265798654818,0.401513113346446,1.0
awe_100km_box_frame_0047,0.9744938252237836,0.0012841903552711642,-0.8015705373551263,-0.8714619661163783,0.044247980002159126,0.021736962873629695,-0.9781167384944826,-0.5427913837806175,0.2885770623721,0.9993288690271245
awe_100km_box_frame_0048,0.978430814118733,-0.1592255043233758,-0.9193839160832188,-0.8387904188365815,0.1302982658659917,0.10874916524604217,-0.9193773882995276,-0.6078280095297899,0.3503803405602617,0.9850042345629124
awe_100km_box_frame_0049,0.999131042798479,0.2540601646700764,-0.7440814557316768,-0.899553838111153,0.1906943028758128,-0.003596328098227519,-0.9076954428972923,-0.683181117681722,0.34102705881952033,0.999782418211834
awe_100km_box_frame_0050,0.9092514631169999,-0.044915886006851036,-0.8879802189457525,-0.7449094367315491,0.25339503459120083,-0.014101342280425255,-0.9507963532025058,-0.4860698162631166,0.5585789902296461,0.9517049453457154
awe_100km_box_frame_0051,0.9937498360762276,-0.01422071750736742,-0.8495042707144929,-0.839425930079921,0.12551489140845007,0.08637086366693136,-0.8963447387124535,-0.6294630821752295,0.4296251526863055,0.9976270687488158
awe_100km_box_frame_0052,0.9281770071430606,-0.12179620517592993,-0.8163709038828014,-0.8942489913319214,0.05634996238793777,0.14485223542526415,-0.8946298146472657,-0.64154361837512,0.36326399269155685,0.9742369520467054
awe_100km_box_frame_0053,0.9810908699330623,0.22278570060232883,-0.8253019878797057,-0.8111669645838366,0.12336750861492263,0.02840061792257842,-0.93422580828428,-0.6050075655765587,0.3689092875870863,0.9920398238310417
awe_100km_box_frame_0054,0.9894125648565748,0.05769194941805944,-0.8111742765412077,-0.7750704460780977,0.2926126082830014,0.034977448705225234,-0.8986642110116011,-0.6318441788096186,0.3749457204292137,0.9936118076087204
awe_100km_box_frame_0055,0.9799519578099487,-0.07425676751101717,-0.7937965524913528,-0.8446844077590752,0.21690431735331805,-0.1607661786326322,-0.9564572895569233,-0.5794264278980762,0.4202549550549417,0.9816169703872464
awe_100km_box_frame_0056,0.9796573073436994,-0.06498909669667441,-0.7895379836693709,-0.9039174913184348,0.17852120377791536,0.10034400779558195,-0.9135675619118426,-0.5999570434461196,0.4672560790482263,0.9938530656480131
awe_100km_box_frame_0057,0.9774577619641465,-0.01795369668993385,-0.9097687353245847,-0.6663525017257532,0.2475741757021086,0.18536047093710462,-0.9060739812015117,-0.5367781270011384,0.4722661794940346,0.9842727756956873
awe_100km_box_frame_0058,0.9741545243718988,-0.06920360908082002,-0.8253605201600341,-0.8504311091411263,0.1778307879198915,-0.08765008258675822,-0.964635748457273,-0.40706455254452556,0.4825075962477776,0.9901251412801415
awe_100km_box_frame_0059,0.9846710078640424,0.03386895065668116,-0.7811228778779045,-0.8611175962470501,0.22028455830610194,-0.0031250375277410702,-0.9619027542238252,-0.45799610994603657,0.5292535303993482,0.9735624030066206
awe_100km_box_frame_0060,0.9873889698730887,0.08474981583618124,-0.8763481425328304,-0.7518562172597512,0.35786689461567334,0.02454156870132307,-0.9194342284951481,-0.613579903922084,0.4429835723678084,0.9724655525930905
awe_100km_box_frame_0061,0.9393252363190836,-0.10762648311715961,-0.8429220802209946,-0.8575595331818792,0.15998970919714228,-0.15447474892788593,-0.9606200591497399,-0.6294533223233953,0.3512977635785839,1.0
awe_100km_box_frame_0062,0.9572243851878792,-0.14527640418238685,-0.8447311600990625,-0.8234528736664721,0.20250297116945282,0.049368635559043694,-0.9260588531184513,-0.5076014741867145,0.4333850355282294,0.9943306532567846
awe_100km_box_frame_0063,0.9444998536863249,0.26885994331871155,-0.7205648540198135,-0.8427431993204558,0.2824019655378813,-0.2106096217273199,-0.9710114649124725,-0.5699665791238684,0.4799854447582168,0.97415941849243
