Cluster power ranking (clustered only)

name = amp0p2(base)
MIN_AMP = 0.2
THR = 0.1
WHITE_NOISE_THRESHOLD = 0.03
WPS_NOISE_THRESHOLD = 8.0

rank  kcl      P_abs           P_pct
   1    1   7.225558e+03    23.76%
   2    7   3.998436e+03    13.15%
   3    5   3.639658e+03    11.97%
   4    3   2.896162e+03     9.52%
   5    6   2.655669e+03     8.73%
   6    0   1.674866e+03     5.51%
   7    9   1.091701e+03     3.59%
   8   21   8.569962e+02     2.82%
   9   19   7.529345e+02     2.48%
  10   10   7.014521e+02     2.31%
  11    8   6.214058e+02     2.04%
  12   18   5.817298e+02     1.91%
  13   12   3.868290e+02     1.27%
  14   15   2.980508e+02     0.98%
  15   14   2.978019e+02     0.98%
  16    2   2.809754e+02     0.92%
  17   26   2.152786e+02     0.71%
  18   38   2.070577e+02     0.68%
  19   13   1.897017e+02     0.62%
  20   17   1.856430e+02     0.61%
  21   29   1.695247e+02     0.56%
  22   11   1.326249e+02     0.44%
  23   34   1.257093e+02     0.41%
  24   20   1.215143e+02     0.40%
  25   23   1.103307e+02     0.36%
  26    4   1.095614e+02     0.36%
  27   22   9.580121e+01     0.32%
  28   37   9.257332e+01     0.30%
  29   28   8.919959e+01     0.29%
  30   32   8.344643e+01     0.27%
  31   30   8.046189e+01     0.26%
  32   40   7.719578e+01     0.25%
  33   24   6.208432e+01     0.20%
  34   41   4.140348e+01     0.14%
  35   25   3.971294e+01     0.13%
  36   36   3.950398e+01     0.13%
  37   16   3.915725e+01     0.13%
  38   35   3.677371e+01     0.12%
  39   42   3.534594e+01     0.12%
  40   27   3.319882e+01     0.11%
  41   33   2.871903e+01     0.09%
  42   39   4.245360e+00     0.01%
  43   31   1.055022e+00     0.00%
