Cluster power ranking (clustered only)
rank  kcl      P_abs           P_pct
   1    2   5.443390e+04    21.99%
   2    0   3.656137e+04    14.77%
   3    4   3.161814e+04    12.77%
   4    7   2.484063e+04    10.04%
   5   13   1.818071e+04     7.35%
   6    1   1.791247e+04     7.24%
   7   16   1.459287e+04     5.90%
   8    8   1.157599e+04     4.68%
   9   11   6.435111e+03     2.60%
  10   18   6.123124e+03     2.47%
  11   10   5.248487e+03     2.12%
  12    3   5.162296e+03     2.09%
  13   20   4.724576e+03     1.91%
  14    5   3.169641e+03     1.28%
  15    9   1.925608e+03     0.78%
  16   14   1.579938e+03     0.64%
  17    6   1.194658e+03     0.48%
  18   19   9.641871e+02     0.39%
  19   12   5.938046e+02     0.24%
  20   17   3.994726e+02     0.16%
  21   15   2.722048e+02     0.11%
