Cluster power ranking (clustered only)
rank  kcl      P_abs           P_pct
 177  119   2.100016e+01     0.00%
 178  145   2.072814e+01     0.00%
 179  114   2.048464e+01     0.00%
 180  135   2.031251e+01     0.00%
 181  248   1.970844e+01     0.00%
 182   75   1.840988e+01     0.00%
 183  196   1.832717e+01     0.00%
 184   93   1.773781e+01     0.00%
 185  230   1.746974e+01     0.00%
 186  225   1.740774e+01     0.00%
 187   97   1.687690e+01     0.00%
 188  118   1.613638e+01     0.00%
 189  131   1.607529e+01     0.00%
 190  100   1.602640e+01     0.00%
 191  107   1.528161e+01     0.00%
 192  166   1.527472e+01     0.00%
 193  169   1.503305e+01     0.00%
 194  229   1.465863e+01     0.00%
 195  232   1.464503e+01     0.00%
 196  178   1.353107e+01     0.00%
 197  147   1.317627e+01     0.00%
 198  152   1.304588e+01     0.00%
 199   96   1.302017e+01     0.00%
 200  104   1.264562e+01     0.00%
 201  176   1.238724e+01     0.00%
 202  175   1.182797e+01     0.00%
 203  212   1.180368e+01     0.00%
 204   98   1.169719e+01     0.00%
 205  205   1.153826e+01     0.00%
 206  233   1.144178e+01     0.00%
 207  185   1.129979e+01     0.00%
 208  209   1.126039e+01     0.00%
 209  154   1.109087e+01     0.00%
 210  140   1.099447e+01     0.00%
 211   74   1.057495e+01     0.00%
 212  165   1.055737e+01     0.00%
 213  129   1.036591e+01     0.00%
 214  164   1.023688e+01     0.00%
 215   73   1.016431e+01     0.00%
 216  180   9.918281e+00     0.00%
 217  174   9.721752e+00     0.00%
 218  203   8.564032e+00     0.00%
 219  213   8.382724e+00     0.00%
 220   95   8.272994e+00     0.00%
 221  244   8.268056e+00     0.00%
 222  128   8.253431e+00     0.00%
 223  227   8.165149e+00     0.00%
 224   66   7.886312e+00     0.00%
 225  207   7.644625e+00     0.00%
 226  162   7.623218e+00     0.00%
 227  200   7.168778e+00     0.00%
 228  171   7.131850e+00     0.00%
 229  245   7.096155e+00     0.00%
 230  137   6.879347e+00     0.00%
 231  231   6.725207e+00     0.00%
 232  144   6.352681e+00     0.00%
 233  220   6.052339e+00     0.00%
 234  235   5.692171e+00     0.00%
 235  243   5.407350e+00     0.00%
 236  236   5.375634e+00     0.00%
 237  217   5.261640e+00     0.00%
 238  219   5.220971e+00     0.00%
 239  193   4.876761e+00     0.00%
 240  256   4.826359e+00     0.00%
 241  228   4.641394e+00     0.00%
 242  218   4.599149e+00     0.00%
 243  206   4.591443e+00     0.00%
 244  258   4.537739e+00     0.00%
 245  211   4.517524e+00     0.00%
 246  226   4.425961e+00     0.00%
 247  194   4.292850e+00     0.00%
 248  186   4.084251e+00     0.00%
 249  197   4.032732e+00     0.00%
 250  242   3.862039e+00     0.00%
 251  199   3.858329e+00     0.00%
 252  189   3.742803e+00     0.00%
 253  163   3.659749e+00     0.00%
 254  173   3.624043e+00     0.00%
 255  238   3.618831e+00     0.00%
 256  253   3.537722e+00     0.00%
 257  255   3.494514e+00     0.00%
 258  210   3.472076e+00     0.00%
 259  155   3.176651e+00     0.00%
