cluster_a  best_cluster_c  passes  score    iou    inter  lam_ratio  ang_diff_deg  thetaA_deg  thetaC_deg  lamA_med  lamC_med
      154             549       1   0.628  0.797  23296     1.189           0.1         0.0         0.1      49.4      58.7
      155             550       1   0.867  0.867  45404     1.000           0.0         0.0         0.0     117.4     117.4
      156             551       0   0.051  0.402   5500     1.297           5.1        91.7        96.7      34.9      45.3
      157             549       1   0.672  0.861  25192     1.091           0.2         0.0         0.2      53.8      58.7
      158             551       0   0.001  0.088    840     1.189          66.3        23.6        89.9      16.0      19.0
      159             551       0   0.003  0.081   1048     1.297          19.7        80.0        99.7      34.9      45.3
      160             551       0   0.000  0.035    384     3.668          27.9        80.6       108.6      16.0      58.7
      161             554       1   0.808  0.881  10184     1.091           0.0       170.0       170.0      26.9      29.3
      162             553       1   0.770  0.770  33476     1.000           0.0       170.0       170.0     117.4     117.4
      163             554       0   0.583  0.756  11100     1.297           0.0       170.0       170.0      38.1      29.3
      164             553       0   0.004  0.020    696     5.657           0.0       170.0       170.0      16.0      90.5
      165             551       0   0.000  0.031    304     3.668          19.1        90.0       109.1      16.0      58.7
      166             552       0   0.004  0.066   1952     2.594           5.9        91.2        97.1      26.9      69.8
      167             555       0   0.009  0.505    436     1.000          55.7        34.5        90.2      16.0      16.0
      168             554       0   0.000  0.034    544     1.464          71.7        98.3       170.0      20.0      29.3
      169             549       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      170             552       0   0.016  0.518  14928     2.000          15.5       102.4        87.0      53.8     107.6
      171             551       0   0.000  0.017    196     2.000          20.0        90.0       110.0      29.3      58.7
      172             550       0   0.000  0.010    452     7.336          13.1        13.1         0.0      16.0     117.4
      173             552       0   0.002  0.088   2028     5.657           7.8        94.5        86.7      19.0     107.6
      174             552       1   0.013  0.124   3772     1.091           7.6        89.4        97.0      64.0      69.8
      175             549       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
      176             549       0   0.000  0.064   2092     1.682          78.8       101.2         0.0      34.9      58.7
      177             549       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
