Cluster power ranking (clustered only)

name = rednoise4
MIN_AMP = 1.2
THR = 0.25
WHITE_NOISE_THRESHOLD = 0.15
WPS_NOISE_THRESHOLD = 4.0

rank  kcl      P_abs           P_pct
   1    1   7.720310e+04    24.17%
   2    0   3.866982e+04    12.10%
   3    2   3.320579e+04    10.39%
   4    3   2.979070e+04     9.32%
   5   27   2.101064e+04     6.58%
   6    9   1.990696e+04     6.23%
   7    5   1.556745e+04     4.87%
   8   12   1.314295e+04     4.11%
   9   22   1.209003e+04     3.78%
  10   14   1.090639e+04     3.41%
  11    6   7.675164e+03     2.40%
  12   11   7.393491e+03     2.31%
  13   13   6.056304e+03     1.90%
  14   19   4.502084e+03     1.41%
  15   21   4.181838e+03     1.31%
  16   15   2.787559e+03     0.87%
  17   10   2.420713e+03     0.76%
  18   24   1.824650e+03     0.57%
  19   26   1.796157e+03     0.56%
  20    4   1.792470e+03     0.56%
  21   18   1.763625e+03     0.55%
  22   23   1.578017e+03     0.49%
  23   25   1.166852e+03     0.37%
  24   16   9.001117e+02     0.28%
  25   17   8.929114e+02     0.28%
  26   20   7.091088e+02     0.22%
  27    8   3.136563e+02     0.10%
  28    7   2.264747e+02     0.07%
