Cluster power ranking (clustered only)

name = base
MIN_AMP = 0.2
THR = 0.1
WHITE_NOISE_THRESHOLD = 0.02
WPS_NOISE_THRESHOLD = 8.0

rank  kcl      P_abs           P_pct
   1    0   4.614833e+03    35.42%
   2    1   2.091328e+03    16.05%
   3    3   1.394842e+03    10.71%
   4    2   1.202940e+03     9.23%
   5   10   6.636550e+02     5.09%
   6    9   5.052810e+02     3.88%
   7   15   4.358134e+02     3.35%
   8    4   3.729757e+02     2.86%
   9    6   2.965236e+02     2.28%
  10   11   2.556637e+02     1.96%
  11   14   2.169952e+02     1.67%
  12   12   2.136769e+02     1.64%
  13    7   1.864027e+02     1.43%
  14    5   1.718868e+02     1.32%
  15   16   1.646935e+02     1.26%
  16   13   1.281440e+02     0.98%
  17    8   1.127985e+02     0.87%
