Cluster power ranking (clustered only)
rank  kcl      P_abs           P_pct
   1    0   4.428383e+03    36.44%
   2    3   2.763059e+03    22.74%
   3    2   1.602797e+03    13.19%
   4    9   9.078087e+02     7.47%
   5    6   8.211395e+02     6.76%
   6    4   3.914621e+02     3.22%
   7    8   3.012697e+02     2.48%
   8   12   2.762301e+02     2.27%
   9    5   2.435461e+02     2.00%
  10    7   1.894924e+02     1.56%
  11    1   1.096083e+02     0.90%
  12   10   7.768028e+01     0.64%
  13   11   3.915725e+01     0.32%
