Red noise filter diagnostics

name                  = base
WHITE_NOISE_THRESHOLD = 0.1
WPS_NOISE_THRESHOLD   = 8.0

n_coeff_total        = 22680000
n_zero_after_white   = 4076232
n_zero_after_scaled  = 21074887
sMAD_WPS min         = 0.05517863300656666
sMAD_WPS median      = 0.06153218532125608
WPS_scaled min       = -0.8517562683855052
WPS_scaled median    = 0.0
WPS_scaled max       = 282.8960153243732
