Red noise filter diagnostics

name                = rednoise4
WHITE_NOISE_THRESHOLD = 0.03
WPS_NOISE_THRESHOLD   = 4.0

n_coeff_total        = 22680000
n_zero_after_white   = 9687583
n_zero_after_scaled  = 19708974
sMAD_WPS min         = 0.0
sMAD_WPS median      = 0.002022092638676651
WPS_scaled min       = -0.9082475435695588
WPS_scaled median    = 0.0
WPS_scaled max       = 36.30788016180301
