L6A file: awe_l6a_tmp_2024165T2120_03175_v01.nc
L6C file: awe_l6c_q20_2024165T2120_03175_v01.nc
Slice: 0

cluster_a  cluster_c  passes  score    iou    inter  lam_ratio  ang_diff_deg  thetaA_deg  thetaC_deg  lamA_med  lamC_med
        0          1       1   0.092  0.528   9782     1.189           3.8        98.1        94.3      64.0      53.8
        0          0       1   0.044  0.573  13048     1.189           9.9        96.4        86.5      83.0      98.7
        0         22       1   0.019  0.146   2277     1.091           6.0        90.0        84.0      83.0      76.1
        0         15       1   0.016  0.172   2663     1.000          10.0        90.0       100.0      83.0      83.0
        0          2       0   0.012  0.417   8251     1.542          20.9        96.4        75.5      83.0      53.8
        0          4       0   0.011  0.191   2653     1.542          10.3       102.7        92.4      58.7      38.1
        0         12       1   0.009  0.124   1871     1.189          11.2        90.0       101.2      83.0      98.7
        0          3       0   0.007  0.400   6274     1.834          28.3        96.5        68.2      83.0      45.3
        0         11       0   0.007  0.138   2101     2.594           6.7        90.0        96.7      83.0      32.0
        0         13       0   0.007  0.108   1857     1.297          11.8        95.8       107.6      83.0     107.6
        0         17       0   0.006  0.179   2415     1.000          27.3       103.6       130.9      58.7      58.7
        0         21       0   0.006  0.099   1608     2.181           6.9        90.0        83.1      83.0      38.1
        0         10       0   0.005  0.123   1649     1.414          17.0       103.0       120.0      58.7      41.5
        0          5       0   0.004  0.085   1276     1.189          18.7        98.7        80.0      83.0      69.8
        0          9       0   0.003  0.307   4143     2.000          43.1       102.9        59.9      58.7     117.4
        0         20       0   0.002  0.190   2562     1.414          66.4       101.2        34.8      58.7      83.0
        0          8       0   0.002  0.143   1926     2.000          41.9       100.2       142.1      58.7     117.4
        0         19       0   0.001  0.062    835     2.378          17.7        90.0       107.7      83.0      34.9
        0          6       0   0.001  0.098   1323     2.181          37.1       104.1        67.0      58.7      26.9
        0         14       0   0.001  0.007    100     2.828           1.5        90.0        91.5      83.0      29.3
        0          7       0   0.001  0.023    313     3.364          10.0        90.0       100.0      83.0      24.7
        0         16       0   0.000  0.021    320     1.091          45.6       115.2        69.6      64.0      58.7
        0         18       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
        1         19       1   0.026  0.260    691     1.189           7.5       100.4       107.9      29.3      34.9
        1          4       0   0.005  0.068    354     1.297          10.0       100.0        90.0      29.3      38.1
        1          1       0   0.004  0.131   2010     2.000          16.3        99.0        82.7      26.9      53.8
        1          2       0   0.004  0.169   2478     1.834          24.5        99.1        74.6      29.3      53.8
        1         11       0   0.003  0.035    213     1.000          10.0       100.0        90.0      32.0      32.0
        1          3       0   0.003  0.152   1459     1.682          35.0       100.0        64.9      29.3      49.4
        1          0       0   0.002  0.112   2515     3.364          16.1        99.1        82.9      29.3      98.7
        1          5       0   0.002  0.055    284     2.594          10.3        90.3        80.0      26.9      69.8
        1         13       0   0.001  0.082    615     4.000          14.2        95.8       110.0      26.9     107.6
        1          9       0   0.001  0.155    896     3.668          40.1       100.1        60.0      29.3     107.6
        1          7       0   0.000  0.004     13     1.297          10.0        90.0       100.0      26.9      20.7
        1         21       0   0.000  0.005     31     1.189          20.0       100.0        80.0      32.0      38.1
        1          6       0   0.000  0.007     26     1.297          30.0       100.0        70.0      32.0      24.7
        1         15       0   0.000  0.003     19     3.084          10.0        90.0       100.0      26.9      83.0
        1         16       0   0.000  0.001      5     2.181          20.0        90.0        70.0      26.9      58.7
        1          8       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
        1         10       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
        1         12       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
        1         14       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
        1         17       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
        1         18       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
        1         20       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
        1         22       0   0.000  0.000      0       nan           nan         nan         nan       nan       nan
