image_index,wavelength_km,wavelength_error_km,angle_deg,angle_error_deg,pt1,pt2,pt3,pt4,pt5,pt6,pt7
0,24.256069171017618,4.332518586558829,41.8295054161868,10.207329274860728,0.9565766418759567,0.9917340025134522,0.9917340025134522,1.0,0.9815225312271991,0.9815225312271991,0.9381570482730341
1,24.2487605749111,4.319991281156516,42.05520466865817,10.287322822730099,0.923848005954607,0.9716459239675515,0.9716459239675515,0.9941464140205423,0.990557986537737,0.990557986537737,0.961723822854073
2,24.233976355493684,4.323571886622939,42.072295129852,10.292719414116139,0.8806319748419935,0.9379061410494078,0.9379061410494078,0.9695236648219154,0.9805121038006246,0.9805121038006246,0.9672236635748432
3,24.188647139482132,4.302768443473133,42.1488880918017,10.321138256474685,0.8323666319580527,0.9030114553559909,0.9030114553559909,0.9498368284857663,0.9772972530127673,0.9772972530127673,0.9812013821782872
4,24.1713104278166,4.303301529893551,42.189650780889316,10.335417146900108,0.7852664318390628,0.8645972184875541,0.8645972184875541,0.9232643095839745,0.9628805672177767,0.9628805672177767,0.9801290200847008
5,24.14185149541578,4.312367331433735,42.2546879843708,10.347509756031394,0.7236381285635769,0.8122799645043564,0.8122799645043564,0.8848395664614384,0.937743864732226,0.937743864732226,0.9690466640543869
6,24.09881406510168,4.305726474303094,42.20200711411825,10.36354150205053,0.6615316908334237,0.7587250352687149,0.7587250352687149,0.8394805655610043,0.9036151024575918,0.9036151024575918,0.9472278615769294
7,24.130228648350542,4.298587380312389,42.34897784660258,10.361299955083435,0.5870412926982675,0.6924988765105171,0.6924988765105171,0.7856526804782908,0.8639490247332451,0.8639490247332451,0.9218175689377079
8,24.10247687060899,4.313723205449186,42.353299273509535,10.36483053745412,0.5059661305130565,0.6187179176733428,0.6187179176733428,0.7207724217016347,0.8072073067561314,0.8072073067561314,0.877798924368733
9,24.02468325136704,4.316162664439869,42.15142983201415,10.387246312053096,0.4080898933351831,0.5264673340102737,0.5264673340102737,0.6366015599438395,0.7347045157231948,0.7347045157231948,0.8162609504173508
10,24.00479452636935,4.320819419514111,42.11197276426922,10.349907356456093,0.3443942692063444,0.4563420843473447,0.4563420843473447,0.574341986323581,0.680920070798753,0.680920070798753,0.7717366594474759
11,24.01752931560961,4.313592413185566,42.093894744296705,10.328339779328825,0.27948392707924974,0.37885443662864926,0.37885443662864926,0.49833376948786356,0.6124164980842872,0.6124164980842872,0.7133454008194109
12,24.003596948511188,4.310087403357498,42.20814120401242,10.351461744296014,0.22328854084574812,0.3146309151935558,0.3146309151935558,0.42327262834298063,0.5446649611311505,0.5446649611311505,0.6535764946115574
13,24.05147476796541,4.299997921482345,42.18487048122172,10.364828723716688,0.17485426718913688,0.2643813821576859,0.2643813821576859,0.364083144372771,0.482388257994939,0.482388257994939,0.5979327345099295
14,24.06405843542098,4.29207313973043,42.08284103501407,10.347001477944488,0.08163484370771501,0.17917252737424127,0.17917252737424127,0.28258392345997896,0.3872463397718964,0.3872463397718964,0.5105819675914507
15,24.05334334050582,4.2826476894514585,42.0587384346994,10.33291440495876,0.016490911808482167,0.1039664671929994,0.1039664671929994,0.20464415254345059,0.3114960398518505,0.3114960398518505,0.42185340944953365
16,24.02355586139897,4.278843611287532,42.071785498528875,10.314452545344958,-0.030078657788933705,0.03801328669798609,0.03801328669798609,0.1327745368399451,0.23470897495414222,0.23470897495414222,0.3470919504802683
17,24.00845680643466,4.285663821231629,42.070171039771296,10.31011048129999,-0.0911776283939375,-0.02678686017211762,-0.02678686017211762,0.04480877763951652,0.14727569356956693,0.14727569356956693,0.2616534188724544
