image_index,pt1,pt2,pt3,pt4,pt5,pt6,pt7
0,-0.11440115784471461,-0.9933218184414035,-0.03556366605361083,1.0,0.28868499864345143,-0.8338743737367397,-0.8863824104447501
1,-0.0028301633279748106,-0.9862023335603527,0.20858962082353605,0.9754004859054608,0.3299677949921569,-0.8248441763219203,-0.6666659481079619
2,0.010063200602473454,-0.9704785505155242,0.2590041027614438,0.9917689854740457,0.2631209320484791,-0.9386373561723528,-0.7433179137896696
3,0.006551524621230209,-0.943473260541161,0.24035992522132887,0.9914668809287783,0.34290605613207403,-0.9219031193023133,-0.8275714719766791
4,0.05699570304482693,-0.9615386673679305,0.2680276312959533,0.9973505509664164,0.3567079840707612,-0.9207153165097145,-0.7714608863093788
5,0.031044237518156326,-0.9844997286969799,0.2033561993384545,0.9872870086808079,0.27178753251858034,-0.9264576312435447,-0.7153859635087256
6,-0.15609177482708103,-0.8309888594240414,0.09516854298436006,0.985743969976905,0.21740789598772503,-0.8788054608373486,-0.81823326617253
7,-0.01282601038723341,-0.9508866540787411,0.4719810831254454,0.9208631236079354,0.07786928407393323,-0.8585035881764935,-0.8891225900371229
8,0.0830258168021758,-0.9379923369220341,0.15158608310929345,0.9694475925252042,0.1798699850656662,-0.9446687621905214,-0.5668726990192394
9,-0.09091374783800299,-0.9571302640797997,0.22375326600911127,0.9881725632782403,0.30722190337973165,-0.9272207570206601,-0.7367961477095596
10,-0.1829570304458209,-0.8871993456242849,0.3527745966970981,0.9699439754722301,0.14176288321570807,-0.8944602551832611,-0.6835400808524867
11,-0.18523923914658236,-0.9405183426997785,0.2962608797126498,0.9942960449676541,0.18905749533877225,-0.9686633597819756,-0.725244098291674
12,-0.062189638086732835,-0.9296296277847367,0.40635434449160734,0.9809415988373702,0.056121358127297016,-0.9103195017258064,-0.5181873607023156
13,-0.04304902482661144,-0.8687256088072436,0.48500689100252936,0.949108839232486,0.3181609880553655,-0.9126122468570924,-0.8459311145095407
14,-0.13655704287291948,-0.9472982645940897,0.31375171260607737,0.9616142427131971,0.25564866157655897,-0.9471459127949998,-0.7676031706623703
15,-0.05323039105174232,-0.9661266473681516,0.34789090085172836,0.999893462494108,0.18547641240702029,-0.9462491133392501,-0.6120069637488386
16,-0.17249097341238462,-0.9802073392547748,0.33127341162592394,0.9840920651867819,0.12450849121010532,-0.9419046218867727,-0.7193409489989647
17,-0.19735932382919197,-0.9627218004437722,0.5216183952281666,0.9479542869993574,0.18812551076299333,-0.8924643331888155,-0.8112845176588058
18,-0.07043283877266204,-0.9728632038573339,0.38849761519957804,0.9896446575183782,0.2617741201820851,-0.9402524168652763,-0.7525701499138746
19,-0.10127132315405363,-0.9334933332433557,0.19761906615402758,1.0,0.108827817069715,-0.9194556503067026,-0.8133523054601453
20,-0.19064850840481595,-0.9066967027617667,0.30682844753658123,0.9950737679543513,0.12523855369688452,-0.9358120594690598,-0.651614748712831
21,-0.25711418115905593,-0.9542149758321105,0.31487633778684376,0.9860056717156735,0.16425632797153744,-0.8099877562397226,-0.7236495935342389
22,-0.315299917834317,-0.9615669049844012,0.3834059255419002,0.9882390520078428,0.1922159576656879,-0.935855130379133,-0.6620260902492083
23,-0.13375967297013613,-0.9199446218832606,0.40296413603724224,0.9407311302728516,0.18892999824447565,-0.9053103839867748,-0.8580049460679776
24,-0.027219143065174256,-0.9713602900432504,0.45795308006294966,0.9457151195249716,0.2605850303229953,-0.9472322747316386,-0.7105130950041019
25,-0.28335356287273905,-0.9096960756927586,0.4469166220037555,0.9938993302896308,0.20677888875480432,-0.8971789398319238,-0.7940443164367896
26,-0.28469331762063255,-0.8667310986917066,0.5064486212946611,0.9565848111505002,0.12653244226913807,-0.8836235142134066,-0.7824103732343628
27,-0.18674614421954738,-0.91736853507425,0.39468452301418955,0.9868522104618436,0.049448091817900997,-0.9415449509467461,-0.5705961560446102
28,-0.4060765389015205,-0.9408975975349975,0.3688883050396401,0.9931983212534867,0.21784667504017263,-0.9317691196941479,-0.7517221352987036
29,-0.1751807291110935,-0.8514957434019526,0.44057812662797957,0.9988773081301874,0.2479286741197564,-0.9092625121342633,-0.7866133379573846
