image_index,wavelength_km,pt1,pt2,pt3,pt4,pt5,pt6,pt7
0,11.313708498984761,-0.4700592203022871,0.16713272021438952,0.795314871481043,1.0,0.780403548859314,0.14226461702114035,-0.4894457474422671
1,11.313708498984761,0.2569671535583664,0.8034421533509795,0.9923288032594795,0.6800805247800403,0.06428932848426583,-0.6463401042272521,-0.9751671265032976
2,11.313708498984761,0.8479650390262208,0.9895991219715683,0.6220402725286605,-0.011671000829657663,-0.6373347790014596,-0.9870678593340821,-0.8273993995294898
3,10.678718833360275,0.9597322701620379,0.5572255665426475,-0.18958708759952148,-0.7668354703512211,-1.0,-0.7318549382558845,-0.11365483599297721
4,10.079368399158986,0.2627842135534697,-0.3951062544063242,-0.9177662341786176,-0.9751521612732412,-0.6017141842840863,0.12368586115309776,0.6933461445463425
5,10.079368399158986,-0.4360706568575474,-0.9041901312335874,-0.949291242147484,-0.49106605721582186,0.20925220345774287,0.8408246130919634,0.9930806974118502
6,10.079368399158986,-0.9312484752672168,-0.9577163093244376,-0.43629932743902955,0.24607246956471496,0.8075732750063509,0.9759904814403173,0.6493746053874385
7,10.079368399158986,-0.8404173192557776,-0.27025160249504965,0.46481139756554035,0.8936859418126919,0.9341007123120295,0.457229626858054,-0.31546029313221113
8,10.079368399158986,-0.1466613945761801,0.5262527086057804,0.9528498229638194,0.8741629172993486,0.31429171933841715,-0.4634581883765907,-0.8990091685018243
9,10.079368399158986,0.4607607438791468,0.9033896831420725,0.8751696878927582,0.35877729522815804,-0.33560668851164155,-0.8715111158483642,-0.9009019276211464
10,10.079368399158986,0.9490312475883511,0.8930354284695776,0.297302940336045,-0.38662912109038383,-0.8778012057250338,-0.928040826599621,-0.4962279795340587
