Red noise filter diagnostics

name                = amp0p25
WHITE_NOISE_THRESHOLD = 0.03
WPS_NOISE_THRESHOLD   = 8.0

n_coeff_total        = 22680000
n_zero_after_white   = 9380454
n_zero_after_scaled  = 20092026
sMAD_WPS min         = 0.0
sMAD_WPS median      = 0.0021663643964291764
WPS_scaled min       = -0.9358110861332202
WPS_scaled median    = -4.7742006220363774e-17
WPS_scaled max       = 40.2157056070237
