ix,iy,x_disp,y_disp
41.000,9.000,41.000,220.000
42.000,9.000,42.000,220.000
43.000,9.000,43.000,220.000
44.000,9.000,44.000,220.000
45.000,9.000,45.000,220.000
46.000,9.000,46.000,220.000
47.000,9.000,47.000,220.000
48.000,9.000,48.000,220.000
49.000,9.000,49.000,220.000
50.000,10.000,50.000,219.000
51.000,10.000,51.000,219.000
52.000,10.000,52.000,219.000
53.000,10.000,53.000,219.000
54.000,10.000,54.000,219.000
55.000,10.000,55.000,219.000
56.000,10.000,56.000,219.000
57.000,10.000,57.000,219.000
58.000,10.000,58.000,219.000
59.000,10.000,59.000,219.000
60.000,10.000,60.000,219.000
61.000,10.000,61.000,219.000
62.000,10.000,62.000,219.000
63.000,10.000,63.000,219.000
64.000,10.000,64.000,219.000
65.000,10.000,65.000,219.000
66.000,10.000,66.000,219.000
67.000,10.000,67.000,219.000
