ix,iy,x_disp,y_disp
29.000,58.000,29.000,171.000
30.000,59.000,30.000,170.000
31.000,59.000,31.000,170.000
32.000,59.000,32.000,170.000
33.000,59.000,33.000,170.000
34.000,60.000,34.000,169.000
35.000,60.000,35.000,169.000
36.000,60.000,36.000,169.000
37.000,61.000,37.000,168.000
38.000,61.000,38.000,168.000
39.000,61.000,39.000,168.000
40.000,61.000,40.000,168.000
41.000,62.000,41.000,167.000
42.000,62.000,42.000,167.000
43.000,62.000,43.000,167.000
44.000,63.000,44.000,166.000
45.000,63.000,45.000,166.000
46.000,63.000,46.000,166.000
47.000,64.000,47.000,165.000
48.000,64.000,48.000,165.000
49.000,64.000,49.000,165.000
50.000,65.000,50.000,164.000
51.000,65.000,51.000,164.000
52.000,65.000,52.000,164.000
53.000,66.000,53.000,163.000
54.000,66.000,54.000,163.000
55.000,66.000,55.000,163.000
56.000,66.000,56.000,163.000
57.000,67.000,57.000,162.000
58.000,67.000,58.000,162.000
59.000,68.000,59.000,161.000
60.000,68.000,60.000,161.000
61.000,68.000,61.000,161.000
62.000,69.000,62.000,160.000
63.000,69.000,63.000,160.000
64.000,69.000,64.000,160.000
65.000,69.000,65.000,160.000
66.000,70.000,66.000,159.000
67.000,70.000,67.000,159.000
68.000,71.000,68.000,158.000
69.000,71.000,69.000,158.000
70.000,71.000,70.000,158.000
