ix,iy,x_disp,y_disp
26.000,48.000,26.000,181.000
27.000,48.000,27.000,181.000
28.000,48.000,28.000,181.000
29.000,48.000,29.000,181.000
30.000,49.000,30.000,180.000
31.000,49.000,31.000,180.000
32.000,49.000,32.000,180.000
33.000,49.000,33.000,180.000
34.000,49.000,34.000,180.000
35.000,49.000,35.000,180.000
36.000,50.000,36.000,179.000
37.000,50.000,37.000,179.000
38.000,50.000,38.000,179.000
39.000,51.000,39.000,178.000
40.000,51.000,40.000,178.000
41.000,51.000,41.000,178.000
42.000,51.000,42.000,178.000
43.000,52.000,43.000,177.000
44.000,52.000,44.000,177.000
45.000,52.000,45.000,177.000
46.000,52.000,46.000,177.000
47.000,53.000,47.000,176.000
48.000,53.000,48.000,176.000
49.000,53.000,49.000,176.000
50.000,54.000,50.000,175.000
51.000,54.000,51.000,175.000
52.000,54.000,52.000,175.000
53.000,54.000,53.000,175.000
54.000,55.000,54.000,174.000
55.000,55.000,55.000,174.000
56.000,55.000,56.000,174.000
57.000,56.000,57.000,173.000
58.000,56.000,58.000,173.000
59.000,56.000,59.000,173.000
60.000,56.000,60.000,173.000
61.000,57.000,61.000,172.000
62.000,57.000,62.000,172.000
63.000,57.000,63.000,172.000
64.000,58.000,64.000,171.000
65.000,58.000,65.000,171.000
66.000,58.000,66.000,171.000
67.000,58.000,67.000,171.000
68.000,59.000,68.000,170.000
69.000,59.000,69.000,170.000
