ix,iy,x_disp,y_disp
26.000,73.000,26.000,156.000
27.000,73.000,27.000,156.000
28.000,73.000,28.000,156.000
29.000,73.000,29.000,156.000
30.000,74.000,30.000,155.000
31.000,74.000,31.000,155.000
32.000,74.000,32.000,155.000
33.000,74.000,33.000,155.000
34.000,74.000,34.000,155.000
35.000,75.000,35.000,154.000
36.000,75.000,36.000,154.000
37.000,75.000,37.000,154.000
38.000,76.000,38.000,153.000
39.000,76.000,39.000,153.000
40.000,76.000,40.000,153.000
41.000,77.000,41.000,152.000
42.000,77.000,42.000,152.000
43.000,77.000,43.000,152.000
44.000,77.000,44.000,152.000
45.000,78.000,45.000,151.000
46.000,78.000,46.000,151.000
47.000,78.000,47.000,151.000
48.000,78.000,48.000,151.000
49.000,79.000,49.000,150.000
50.000,79.000,50.000,150.000
51.000,80.000,51.000,149.000
52.000,80.000,52.000,149.000
53.000,80.000,53.000,149.000
54.000,81.000,54.000,148.000
55.000,81.000,55.000,148.000
56.000,82.000,56.000,147.000
57.000,82.000,57.000,147.000
58.000,82.000,58.000,147.000
59.000,83.000,59.000,146.000
60.000,83.000,60.000,146.000
61.000,84.000,61.000,145.000
62.000,84.000,62.000,145.000
63.000,84.000,63.000,145.000
64.000,85.000,64.000,144.000
65.000,85.000,65.000,144.000
66.000,85.000,66.000,144.000
