ix,iy,x_disp,y_disp
24.000,53.000,24.000,176.000
25.000,53.000,25.000,176.000
26.000,54.000,26.000,175.000
27.000,54.000,27.000,175.000
28.000,54.000,28.000,175.000
29.000,55.000,29.000,174.000
30.000,55.000,30.000,174.000
31.000,55.000,31.000,174.000
32.000,55.000,32.000,174.000
33.000,56.000,33.000,173.000
34.000,56.000,34.000,173.000
35.000,56.000,35.000,173.000
36.000,57.000,36.000,172.000
37.000,57.000,37.000,172.000
38.000,57.000,38.000,172.000
39.000,57.000,39.000,172.000
40.000,58.000,40.000,171.000
41.000,58.000,41.000,171.000
42.000,58.000,42.000,171.000
43.000,59.000,43.000,170.000
44.000,59.000,44.000,170.000
45.000,59.000,45.000,170.000
46.000,60.000,46.000,169.000
47.000,60.000,47.000,169.000
48.000,60.000,48.000,169.000
49.000,61.000,49.000,168.000
50.000,61.000,50.000,168.000
51.000,61.000,51.000,168.000
52.000,61.000,52.000,168.000
53.000,62.000,53.000,167.000
54.000,62.000,54.000,167.000
55.000,63.000,55.000,166.000
56.000,63.000,56.000,166.000
57.000,63.000,57.000,166.000
58.000,64.000,58.000,165.000
59.000,64.000,59.000,165.000
60.000,64.000,60.000,165.000
61.000,65.000,61.000,164.000
62.000,65.000,62.000,164.000
